	ID	Periode	IDRegent	IDFunctie	IDCollege	Begindag	Beginmaand	Beginjaar	Einddag	Eindmaand	Eindjaar	Vertegenwoordigend	provinciaal	Opmerkingen	lokaal	regio	stand
0	1	1	22	1	9.0	21.0	4.0	1722.0	30.0	4.0	1752	0		Aanvangsdatum: benoeming door de Staten van Holland.	1.0		
1	2	1	22	1	11.0	1.0	5.0	1752.0	16.0	11.0	1766	0		BeÃ«indigd door overlijden.	1.0		
2	3	1	23	76	7.0	1.0	5.0	1764.0	30.0	4.0	1766	0			11.0		
3	4	1	23	1	11.0	1.0	5.0	1752.0	30.0	4.0	1754	0			11.0		
4	5	1	24	21	9.0	14.0	6.0	1724.0	30.0	4.0	1752	0					
5	6	1	24	21	11.0	1.0	5.0	1752.0	4.0	4.0	1754	0		BeÃ«indigd door overlijden.			
6	7	1	24	21	13.0	5.0	9.0	1718.0	13.0	6.0	1724	0		Aanvangsdatum volgens Nationaal Archief, archief De Riemer, inv. nr. 41, blz. 197, 22 juli 1719. BeÃ«indiging wegens benoeming tot secretaris van de Rekenkamer ter Auditie van Holland in het Zuiderkwartier (de einddatum daarvan afgeleid).			
7	8	1	25	76	7.0	1.0	5.0	1747.0	30.0	4.0	1749	0		BeÃ«indiging wegens benoeming tot burgemeester van Leiden.	5.0		
8	9	1	25	1	11.0	1.0	5.0	1752.0	30.0	4.0	1755	0			5.0		
9	10	1	25	8	27.0	1.0	5.0	1739.0	25.0	7.0	1740	0	3.0	De reden van beÃ«indiging is onbekend.	5.0		
10	11	1	26	76	7.0	1.0	5.0	1762.0	30.0	4.0	1763	0			2.0		
11	12	1	26	76	7.0	1.0	5.0	1766.0	30.0	4.0	1769	0			2.0		
12	13	1	26	1	11.0	1.0	5.0	1779.0	30.0	4.0	1781	0			2.0		
13	14	1	26	1	32.0	26.0	7.0	1776.0	8.0	5.0	1777	0	3.0		2.0		
14	15	1	27	1	11.0	1.0	5.0	1755.0	16.0	6.0	1756	0		BeÃ«indigd door overlijden.	6.0		
15	16	1	28	1	11.0	1.0	5.0	1788.0	30.0	4.0	1791	0			6.0		
16	17	1	28	1	11.0	1.0	5.0	1794.0	28.0	1.0	1795	0		BeÃ«indiging wegens opheffing van het college.	6.0		
17	18	1	28	1	29.0	9.0	5.0	1785.0	1.0	5.0	1788	0	3.0		6.0		
18	19	1	29	1	11.0	1.0	5.0	1761.0	4.0	2.0	1763	0		BeÃ«indigd door overlijden.	6.0		
19	20	1	29	1	11.0	14.0	7.0	1756.0	30.0	4.0	1758	0		Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
20	21	1	29	1	29.0	1.0	5.0	1758.0	30.0	4.0	1761	0	3.0		6.0		
21	23	1	30	1	11.0	25.0	2.0	1763.0	30.0	4.0	1764	0		Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
22	24	1	30	1	32.0	28.0	2.0	1770.0	14.0	3.0	1782	0	3.0	Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
23	25	1	30	1	33.0	19.0	2.0	1784.0	16.0	2.0	1785	0	3.0		6.0		
24	26	1	31	76	7.0	1.0	5.0	1783.0	30.0	4.0	1786	0			6.0		
25	27	1	31	1	11.0	1.0	5.0	1769.0	30.0	4.0	1772	0			6.0		
26	28	1	31	1	31.0	20.0	2.0	1787.0	23.0	3.0	1789	0	3.0		6.0		
27	29	1	32	76	7.0	1.0	5.0	1789.0	30.0	4.0	1792	0			6.0		
28	30	1	32	1	11.0	1.0	5.0	1776.0	30.0	4.0	1779	0			6.0		
29	31	1	32	1	11.0	1.0	5.0	1782.0	30.0	4.0	1785	0			6.0		
30	32	1	33	1	11.0	11.0	12.0	1766.0	28.0	1.0	1795	0		Aanvangsdatum: benoeming door de Staten van Holland. BeÃ«indiging wegens opheffing van het college.	1.0		
31	33	1	33	5	13.0	27.0	1.0	1758.0	10.0	12.0	1766	0	3.0	De einddatum is afgeleid van de aanvangsdatum als gecommitteerde in de Provinciale Rekenkamer van Holland.			
32	34	1	34	76	7.0	1.0	5.0	1757.0	30.0	4.0	1758	0		BeÃ«indiging wegens benoeming tot secretaris van de Provinciale Rekenkamer van Holland.	2.0		
33	35	1	34	1	28.0	1.0	5.0	1752.0	30.0	4.0	1755	0	3.0		2.0		
34	37	1	34	21	11.0	6.0	5.0	1758.0	18.0	11.0	1772	0		Aanvangsdatum: benoeming door de Staten van Holland.			
35	38	1	35	1	11.0	1.0	5.0	1794.0	28.0	1.0	1795	0		BeÃ«indiging wegens opheffing van het college.	2.0		
36	40	1	36	1	11.0	1.0	5.0	1787.0	30.0	4.0	1790	0			2.0		
37	41	1	37	76	7.0	1.0	5.0	1781.0	30.0	4.0	1784	0			2.0		
38	42	1	37	1	11.0	1.0	5.0	1773.0	30.0	4.0	1776	0			2.0		
39	43	1	38	76	7.0	1.0	5.0	1758.0	30.0	4.0	1760	0			2.0		
40	44	1	38	1	11.0	1.0	5.0	1761.0	1.0	4.0	1762	0		BeÃ«indigd door overlijden.	2.0		
41	45	1	38	8	27.0	1.0	5.0	1745.0	30.0	4.0	1748	0	3.0		2.0		
42	46	1	38	8	27.0	1.0	5.0	1754.0	30.0	4.0	1756	0	3.0	De reden van beÃ«indiging is onbekend.	2.0		
43	47	1	39	1	11.0	21.0	4.0	1762.0	30.0	4.0	1764	0		Aanvangsdatum: benoeming door de Staten van Holland.	2.0		
44	48	1	39	1	30.0	12.0	4.0	1787.0	8.0	4.0	1790	0	3.0		2.0		
45	49	1	40	1	11.0	1.0	5.0	1754.0	30.0	4.0	1757	0			2.0		
46	50	1	41	1	11.0	1.0	5.0	1767.0	30.0	4.0	1770	0			2.0		
47	51	1	42	76	7.0	1.0	5.0	1775.0	30.0	4.0	1778	0			2.0		
48	52	1	42	1	11.0	1.0	5.0	1781.0	30.0	4.0	1782	0		Benoeming door de Staten van Holland op 4 mei.	2.0		
49	53	1	43	76	7.0	1.0	5.0	1765.0	30.0	4.0	1768	0			5.0		
50	54	1	43	1	11.0	1.0	5.0	1758.0	30.0	4.0	1761	0			5.0		
51	55	1	44	1	11.0	1.0	5.0	1766.0	30.0	4.0	1769	0			5.0		
52	56	1	45	1	11.0	1.0	5.0	1773.0	30.0	4.0	1776	0			5.0		
53	57	1	46	1	11.0	1.0	5.0	1779.0	30.0	4.0	1782	0			5.0		
54	58	1	47	1	11.0	1.0	5.0	1785.0	7.0	2.0	1787	0		BeÃ«indiging wegens ontslag uit de vroedschap van Leiden.	5.0		
55	59	1	48	1	11.0	8.0	2.0	1787.0	30.0	4.0	1788	0		Aanvangsdatum: benoeming door de Staten van Holland.	5.0		
56	60	1	48	8	27.0	1.0	5.0	1793.0		1.0	1795	0	3.0		5.0		
57	61	1	49	76	7.0	1.0	10.0	1787.0	30.0	4.0	1788	0		Aanvangsdatum: benoeming door de Staten van Holland.	5.0		
58	62	1	49	76	7.0	1.0	5.0	1780.0	30.0	4.0	1783	0			5.0		
59	63	1	49	76	7.0	1.0	5.0	1786.0	28.0	8.0	1787	0		BeÃ«indiging wegens ontslag uit de vroedschap van Leiden.	5.0		
60	64	1	49	1	11.0	1.0	5.0	1791.0	30.0	4.0	1794	0			5.0		
61	65	1	49	1	28.0	2.0	5.0	1788.0	1.0	5.0	1791	0	3.0		5.0		
62	66	1	49	8	27.0			1767.0	30.0	4.0	1769	0	3.0	De aanvangsdatum is afgeleid van de einddatum van voorganger Nicolaas van den Boetzelaer.	5.0		
63	67	1	51	76	7.0	1.0	5.0	1742.0	30.0	4.0	1744	0			12.0		
64	68	1	51	76	7.0	1.0	5.0	1748.0	30.0	4.0	1750	0			12.0		
65	69	1	51	76	7.0	1.0	5.0	1766.0	30.0	4.0	1768	0			12.0		
66	70	1	51	1	11.0	1.0	5.0	1755.0	30.0	4.0	1758	0			12.0		
67	71	1	51	1	30.0	16.0	3.0	1769.0	8.0	3.0	1772	0	3.0		12.0		
68	72	1	52	76	7.0	1.0	5.0	1770.0	30.0	4.0	1772	0			11.0		
69	73	1	52	76	7.0	1.0	5.0	1776.0	30.0	4.0	1778	0			11.0		
70	74	1	52	76	7.0	1.0	5.0	1782.0	30.0	4.0	1784	0			11.0		
71	75	1	52	76	7.0	1.0	5.0	1788.0	30.0	4.0	1790	0			11.0		
72	76	1	52	76	7.0	1.0	5.0	1794.0	28.0	1.0	1795	0			11.0		
73	77	1	52	1	11.0	1.0	5.0	1764.0	30.0	4.0	1767	0			11.0		
74	78	1	53	21	11.0	13.0	3.0	1779.0	28.0	1.0	1795	0		Aanvangsdatum: benoeming door de Staten van Holland. BeÃ«indiging wegens opheffing van het college.			
75	79	1	54	76	7.0	1.0	5.0	1772.0	30.0	4.0	1774	0			12.0		
76	80	1	54	1	11.0	1.0	5.0	1767.0	30.0	4.0	1770	0			12.0		
77	81	1	54	1	30.0	8.0	4.0	1784.0	15.0	4.0	1790	0	3.0		12.0		
78	82	1	55	1	11.0	1.0	5.0	1752.0	30.0	4.0	1755	0			15.0		
79	83	1	55	1	11.0	1.0	5.0	1761.0	30.0	4.0	1764	0			15.0		
80	84	1	55	1	11.0	1.0	5.0	1767.0	30.0	4.0	1770	0			15.0		
81	86	1	56	76	7.0	1.0	5.0	1765.0	30.0	4.0	1768	0			3.0		
82	87	1	56	1	11.0	1.0	5.0	1770.0	30.0	4.0	1773	0			3.0		
83	88	1	56	1	11.0	1.0	5.0	1778.0	30.0	4.0	1781	0			3.0		
84	89	1	56	1	31.0	4.0	5.0	1773.0	30.0	4.0	1776	0	3.0		3.0		
85	90	1	56	8	27.0	1.0	5.0	1757.0	30.0	4.0	1760	0	3.0		3.0		
86	92	1	57	1	11.0	1.0	5.0	1775.0	30.0	4.0	1778	0			12.0		
87	93	1	58	76	7.0	26.0	11.0	1781.0	30.0	4.0	1783	0		Aanvangsdatum: benoeming door de Staten van Holland.	3.0		
88	94	1	58	1	11.0	1.0	5.0	1752.0	30.0	4.0	1755	0			3.0		
89	95	1	58	1	31.0	1.0	5.0	1770.0	3.0	5.0	1773	0	3.0		3.0		
90	96	1	59	76	7.0	21.0	2.0	1788.0	30.0	4.0	1789	0		Aanvangsdatum: benoeming door de Staten van Holland.	3.0		
91	97	1	59	1	11.0	1.0	5.0	1791.0	30.0	4.0	1794	0			3.0		
92	98	1	60	76	7.0	1.0	5.0	1744.0	30.0	4.0	1746	0			10.0		
93	99	1	60	1	11.0	1.0	5.0	1755.0	30.0	4.0	1758	0			10.0		
94	100	1	61	21	9.0			1702.0	30.0	4.0	1752	0					
95	101	1	61	21	11.0	1.0	5.0	1752.0	17.0	7.0	1754	0					
96	102	1	62	76	7.0	1.0	5.0	1760.0	30.0	4.0	1766	0			9.0		
97	103	1	62	1	11.0	1.0	5.0	1767.0	30.0	5.0	1770	0			9.0		
98	104	1	63	76	7.0	1.0	5.0	1764.0	30.0	4.0	1767	0			4.0		
99	105	1	63	1	11.0	1.0	5.0	1758.0	30.0	4.0	1761	0			4.0		
100	106	1	63	1	30.0	11.0	3.0	1768.0	14.0	3.0	1771	0	3.0		4.0		
101	107	1	63	8	27.0	1.0	5.0	1781.0	30.0	4.0	1784	0	3.0		4.0		
102	109	1	64	76	7.0	1.0	5.0	1768.0	30.0	4.0	1771	0			3.0		
103	110	1	64	1	11.0	1.0	5.0	1764.0	30.0	4.0	1767	0			3.0		
104	112	1	66	76	7.0	1.0	5.0	1763.0	30.0	4.0	1766	0			7.0		
105	113	1	66	1	11.0	1.0	5.0	1757.0	30.0	4.0	1760	0			7.0		
106	114	1	67	76	7.0	1.0	5.0	1768.0	30.0	4.0	1770	0			10.0		
107	115	1	67	76	7.0	1.0	5.0	1774.0	30.0	4.0	1776	0			10.0		
108	116	1	67	1	11.0	1.0	5.0	1776.0	30.0	4.0	1779	0			10.0		
109	117	1	68	1	11.0	11.0	4.0	1769.0	30.0	4.0	1770	0		Aanvangsdatum: benoeming door de Staten van Holland.	14.0		
110	118	1	68	1	11.0	1.0	5.0	1773.0	30.0	4.0	1776	0			14.0		
111	119	1	68	1	29.0	6.0	5.0	1784.0	30.0	4.0	1787	0	3.0		14.0		
112	120	1	68	8	27.0	1.0	5.0	1778.0	30.0	4.0	1781	0	3.0		14.0		
113	121	1	68	8	27.0	1.0	5.0	1787.0	29.0	5.0	1788	0	3.0	BeÃ«indiging wegens ontslag uit de vroedschap van Hoorn.	14.0		
114	123	1	69	76	7.0	1.0	5.0	1778.0	30.0	4.0	1780	0			12.0		
115	124	1	69	1	11.0	1.0	5.0	1782.0	30.0	4.0	1785	0			12.0		
116	125	1	70	76	7.0	1.0	5.0	1779.0	30.0	4.0	1782	0			4.0		
117	126	1	70	1	11.0	1.0	5.0	1785.0	30.0	4.0	1788	0			4.0		
118	127	1	70	1	30.0	6.0	4.0	1775.0	7.0	4.0	1778	0	3.0		4.0		
119	129	1	71	76	7.0	1.0	5.0	1787.0	30.0	4.0	1790	0			7.0		
