	ID FunctieBovenLokaal	FunctieBovenLokaal	Volgnummer
0	1	Gecommitteerde	2
1	2	Ordinaris raadsheer	6
2	3	Extraordinaris raadsheer	7
3	4	President-raadsheer	4
4	5	Raadsheer	5
5	6	Luitenant	9
6	7	Hoofdman	8
7	8	Ordinaris gedeputeerde	1
8	9	Bewindhebber	3
9	10	Advocaat-fiscaal	15
10	11	Agent	23
11	13	Auditeur	18
12	14	Commies	21
13	15	Commies-generaal	22
14	16	Griffier	19
15	17	Landsadvocaat	12
16	18	Ontvanger-generaal	17
17	19	Ontvanger-Generaal van de Unie	11
18	20	Procureur-generaal	14
19	21	Raadpensionaris	13
20	22	Secretaris	16
21	23	Substituut-griffier	20
22	24	Thesaurier-Generaal van de Unie	10
23	25	-	24
24	26	Ontvanger-generaal in het Zuiderkwartier	17
25	27	Ontvanger-generaal in het Noorderkwartier Nkw.	17
