	IDlokaal	lokaal	volgnummer
0	1	Ridderschap van Holland	1
1	2	Dordrecht	2
2	3	Haarlem	3
3	4	Delft	4
4	5	Leiden	5
5	6	Amsterdam	6
6	7	Gouda	7
7	8	Rotterdam	8
8	9	Gorinchem	9
9	10	Schiedam	10
10	11	Schoonhoven	11
11	12	Den Briel	12
12	13	Alkmaar	13
13	14	Hoorn	14
14	15	Enkhuizen	15
15	16	Edam	16
16	17	Monnickendam	17
17	18	Medemblik	18
18	19	Purmerend	19
19	20	Middelburg	20
20	21	Zierikzee	21
21	22	Goes	22
22	23	Tholen	23
23	24	Vlissingen	24
24	25	Veere	25
25	26	Leeuwarden	0
26	27	Eerste Edele	0
27	28	Deventer	0
28	29	Kampen	0
29	30	Zwolle	0
30	31	Ridderschap van Overijssel	0
