	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Opmerkingen2	Periode	overlijdensdag	overlijdensmaand
0	22	Aerssen van Voshol	van	1.0		Cornelis	1		Voshol		1698.0	1	1766	0	Heerlijkheid: verwerving 1719.		1	16.0	11.0
1	23	Fremery	de	1.0		Nicolaas	0				1719.0	0	1784	0			1		
2	24	Thilenius		1.0	4.0	Jan Abraham	0				1698.0	0	1754	0			1	4.0	4.0
3	25	Meer	van der	1.0	4.0	Jacob	0		Hoogeveen		1696.0	0	1755	0			1	8.0	5.0
4	26	Josselet		1.0		Coenraad Hendriksz.	0				1710.0	1	1783	0			1	17.0	9.0
5	27	Bas	de	1.0		Lodewijk	0		Horstermeer		1691.0	0	1756	0			1	16.0	6.0
6	28	Hoesen	Kuysten van	1.0	4.0	Leonard	0				1745.0	0	1808	0			1		
7	29	Lijn	van der	1.0	4.0	Anthony Pieter	0				1724.0	0	1763	0			1	4.0	2.0
8	30	Hoorn	van	1.0		Quirijn Wilhelm	0		Noordwijkerhout	De Zilk	1730.0	0	1797	0			1		
9	31	Rendorp		1.0	4.0	Joachim	0		Marquette		1728.0	0	1792	0			1		
10	32	Dedel		1.0		Abraham	0				1732.0	0	1798	0			1		
11	33	Does	Doys van der	3.0	4.0	Gerlach Jan	1		Langeveld		1732.0	0	1810	0			1		
12	34	Beelaerts		1.0	4.0	Gerard	0		Blokland	Wieldrecht en Dortsmonde	1710.0	0	1790	0	Heerlijkheden: verwerving Blokland 1769.		1		
13	35	Beelaerts van Blokland		1.0	4.0	Pieter	0		Blokland		1744.0	0	1812	0			1		
14	36	Brandeler	van den	1.0	4.0	Johan	0				1756.0	0	1820	0			1		
15	37	Snellen		1.0	4.0	Willem	0				1727.0	0	1791	0			1		
16	38	Honert	van den	1.0	4.0	Cornelis	0				1680.0	1	1762	0			1	1.0	4.0
17	39	Beelaerts		1.0	4.0	Pieter Matthijs	0		Emmikhoven	Ganswijk en Waardhuizen	1725.0	0	1796	0			1	28.0	7.0
18	40	Roo	de	1.0	4.0	Jan Henrick	0		Westmaas	Groep, Wulverhorst, Kromwijk en Linschoter Har	1712.0	0	1766	0			1	28.0	10.0
19	41	Bout		1.0	4.0	Adriaan	0		Lieshout		1726.0	0	1786	0			1	30.0	11.0
20	42	Repelaer		1.0	4.0	Hugo	0				1730.0	0	1804	0			1	13.0	6.0
21	43	Berkhout	Teding van	1.0	4.0	Coenraad	0				1714.0	0	1770	0			1		
22	44	Drolenvaux		1.0	4.0	Simon	0				1722.0	0	1792	0			1		
23	45	Gronovius		1.0	4.0	Laurens Theodorus	0				1730.0	0	1777	0			1		
24	46	Cunaeus		1.0	4.0	Joan Andreas	0				1743.0	0	1797	0			1		
25	47	Hogeveen	van	1.0	4.0	Gerard	0				1738.0	0		0	Vroedschap: beÃ«indiging 1787 wegens vertrek naar Heemstede.		1		
26	48	Meerman van Dalem		9.0	4.0	Johan	0		Dalem	Vuren	1753.0	0	1815	0	Adelstitel: Comte (1812).		1		
27	49	Changuion		1.0	4.0	Pieter	0				1731.0	0	1804	0			1		
28	51	Gallas		1.0		Johannes Arnoldus	0				1688.0	0	1777	0			1		
29	52	Bosch	van den	1.0		Gerardus Jacobus	0				1737.0	0	1810	0			1		
30	53	Goes	van der	1.0	4.0	Philip Jacob	0				1752.0	0	1831	0	Persoonsgegevens: senior.		1	12.0	9.0
31	54	Crab	van der	1.0		Augustinus	0				1715.0	0	1806	0			1		
32	55	Vaillant		1.0	4.0	Christiaan Jan	0				1719.0	0	1781	0			1	9.0	3.0
33	56	Slicher		1.0	4.0	Anthony	0				1721.0	0	1794	0			1		
