	19	BatFra
0	2967	1290
1	3674	281
2	4296	686
3	3888	1020
4	2969	1289
5	3030	689
6	3676	6
7	3031	2019
8	3889	1264
9	3409	2435
10	2703	439
11	3731	3205
12	2704	693
13	3890	694
14	3032	3023
15	5247	695
16	6970	430
17	3033	2680
18	3921	1260
19	6724	1277
20	3891	681
21	5046	108
22	4204	320
23	6720	703
24	4164	376
25	4598	2930
26	2707	384
27	3883	727
28	6410	296
29	2708	393
30	4937	706
31	6403	36
32	3112	431
33	3334	656
34	3400	708
35	3379	710
36	3426	57
37	3114	3185
38	3643	359
39	3741	42
40	4591	2982
41	3644	470
42	2715	222
43	3862	3325
44	3893	1249
45	3380	723
46	3681	96
47	2917	726
48	3920	1258
49	3746	2438
50	2693	422
51	2722	8
52	3225	1018
53	3330	1287
54	3398	26
55	3860	16
56	3894	728
57	6368	3223
58	2974	732
59	3747	3064
60	6340	733
61	3228	3212
62	3399	464
63	3924	416
64	3229	3222
65	3403	2476
66	3393	2428
67	3329	1292
68	6286	514
69	4934	734
70	3879	61
71	3683	280
72	3476	448
73	4933	631
74	2999	368
75	3163	737
76	4323	182
77	2727	4
78	3231	2664
79	3466	438
80	6174	3047
81	5251	739
82	3827	10
83	3404	440
84	3000	2516
85	3355	604
86	3045	2084
87	3884	326
88	3684	3088
89	3427	2088
90	3234	2093
91	6739	751
92	3686	364
93	3896	529
94	4215	2469
95	6220	313
96	3651	54
97	3237	754
98	6733	1281
99	3861	455
100	3886	1239
101	3333	678
102	3239	758
103	3943	383
104	2926	1560
105	3178	3244
106	3897	1000
107	2736	460
108	2975	676
109	3050	2112
110	6321	427
111	3051	762
112	5159	1946
113	3824	237
114	3241	3149
115	3364	346
116	3053	765
117	2738	17
118	3690	111
119	3898	338
120	3880	2523
121	3645	471
122	3055	11
123	3401	2480
124	3368	2987
125	6749	2919
126	2928	1564
127	3244	1106
128	3005	777
129	2929	2522
130	2742	780
131	6362	2384
132	3056	3022
133	6746	1107
134	2930	1565
135	3693	1253
136	2745	1566
137	3505	3523
138	4360	1065
139	3899	1245
140	3900	1254
141	6324	2473
142	3322	785
143	6421	786
144	2748	27
145	3059	589
146	3007	788
147	3008	1377
148	3887	1259
149	5224	2464
150	6782	1293
151	3253	269
152	3944	315
153	6390	2139
154	4259	282
155	3181	138
156	3182	795
157	4260	1195
158	3183	796
159	3410	3220
160	6119	2926
161	3828	135
162	6365	621
163	3108	3569
164	3385	107
165	3395	501
166	3129	1953
167	6417	388
168	3130	994
169	3258	2150
170	3418	803
171	2756	24
172	2934	805
173	4325	806
174	6972	39
175	3510	3026
176	3260	2803
177	6330	985
178	3131	1956
179	6742	965
180	3261	807
181	3671	443
182	6969	177
183	3472	1958
184	3646	52
185	3842	33
186	3133	2497
187	2758	396
188	5145	486
189	4239	812
190	5186	1008
191	3926	2824
192	3186	1047
193	3413	1269
194	6224	1889
195	3405	512
196	3325	1284
197	6956	3031
198	5190	3270
199	3188	2975
200	6145	1893
201	6718	1124
202	2762	3259
203	2936	441
204	6284	367
205	4298	833
206	2764	14
207	3270	178
208	4304	179
209	2767	1570
210	6225	1897
211	5221	2463
212	3168	45
213	3938	3112
214	6254	2670
215	2772	2942
216	6778	1279
217	2774	180
218	3272	462
219	3840	23
220	2777	189
221	3901	365
222	3473	442
223	3075	445
224	3922	2489
225	3387	65
226	3076	2905
227	3278	1592
228	3014	1319
229	2781	29
230	4364	283
231	4198	499
232	3701	2
233	3903	362
234	3904	1256
235	3138	1967
236	2941	857
237	3015	1405
238	3905	983
239	3078	864
240	5162	865
241	3080	2483
242	3194	2471
243	6370	482
244	3710	292
245	2790	465
246	2945	428
247	3450	3101
248	3083	329
249	5068	1370
250	4938	2615
251	4625	3115
252	3171	1268
253	6124	1908
254	6413	2385
255	2793	31
256	3288	872
257	3087	116
258	3018	50
259	4165	433
260	3906	372
261	6955	1589
262	3499	2934
263	3946	1576
264	3089	565
265	6302	3083
266	2984	184
267	2983	176
268	6813	288
269	3388	276
270	3867	429
271	6333	884
272	3885	9
273	2950	886
274	5045	888
275	4943	1361
276	5081	1495
277	3908	1012
278	2801	1
279	3396	2479
280	3909	339
281	3725	345
282	6949	395
283	3491	3315
284	3469	894
285	4201	349
286	6710	1282
287	2802	103
288	3917	1240
289	3911	1251
290	6115	2928
291	3389	904
292	2987	1286
293	3297	2972
294	4302	907
295	3837	2772
296	2954	909
297	3198	911
298	3095	912
299	3298	7
300	6962	2413
301	3096	2437
302	4213	3295
303	2806	3086
304	5012	332
305	5004	2936
306	2989	3053
307	3327	1276
308	6365	621
309	3300	914
310	2807	915
311	2808	3190
312	5249	916
313	3882	1248
314	3391	503
315	3302	2276
316	3487	918
317	3098	2371
318	3919	1257
319	2812	392
320	6296	426
321	3101	295
322	3308	316
323	3912	1263
324	3200	1064
325	3913	350
326	3328	1283
327	3310	2935
328	6116	1919
329	4240	1226
330	3311	2293
331	6391	3094
332	3914	680
333	6406	928
334	3201	929
335	3406	97
336	6765	2944
337	4328	932
338	3150	931
339	6976	301
340	3931	1272
341	2990	1280
342	4352	2951
343	3923	1261
344	5204	2462
345	5146	938
346	3471	5
347	3152	3127
348	2696	322
349	5155	20
350	2823	298
351	6183	1927
352	3832	141
