	BatFra	Republiek
0	980	2758
1	449	3416
2	320	3160
3	393	757
4	704	1118
5	2636	4247
6	708	2757
7	1376	3549
8	422	755
9	1868	2940
10	2427	285
11	2428	2187
12	230	3331
13	2096	109
14	1304	3701
15	750	470
16	552	288
17	2434	1080
18	3054	2945
19	765	53
20	458	2761
21	1235	2762
22	981	649
23	2925	2944
24	786	2760
25	27	2176
26	1377	3425
27	797	2677
28	818	112
29	559	4167
30	832	738
31	967	3855
32	354	2764
33	1898	3002
34	358	2941
35	843	3426
36	38	48
37	365	2759
38	1009	2752
39	2	2753
40	3257	4249
41	3269	612
42	465	3716
43	329	433
44	564	2194
45	968	3856
46	2430	4164
47	886	3501
48	2412	747
49	417	223
50	1243	2810
51	3086	3415
52	2936	3736
53	380	3922
54	392	471
55	3266	4184
56	635	3802
57	15	336
58	336	3487
59	28	243
60	488	260
61	948	3583
62	984	2939
63	2536	4182
64	2369	2086
65	3260	30
66	401	3947
67	3234	3089
68	1419	3805
69	2021	268
70	997	2812
71	3264	232
72	1014	2932
73	3518	1414
74	561	4263
75	14	4264
76	357	4266
