	Republiek	19
0	2024	6341
1	3160	4204
2	228	3035
3	757	2708
4	1957	2692
5	2757	3400
6	3839	6092
7	3883	3160
8	755	2693
9	2755	6168
10	2187	3393
11	2126	3043
12	4165	3875
13	3676	3003
14	53	3053
15	2685	3251
16	3806	6953
17	3522	2747
18	2760	6421
19	2176	2748
20	3425	3008
21	2445	2752
22	2149	3853
23	3198	3508
24	3502	3009
25	3423	5036
26	3896	6156
27	2088	6389
28	2202	2775
29	3201	6127
30	3869	6114
31	2759	3901
32	2753	3701
33	4249	2940
34	2765	3079
35	3716	2790
36	433	3083
37	120	3286
38	2851	4203
39	3501	2950
40	2204	6201
41	3735	3021
42	3415	2806
43	3417	5006
44	3736	5004
45	2216	2810
46	471	2812
47	473	3927
48	243	4202
49	250	2828
50	2852	6293
