	IDRegent	IDBron	deel en paginanummer
0	1	9	59.
1	1	12	IX, 871.
2	2	2	173.
3	2	4	VIII, 296.
4	2	9	65.
5	2	12	IV, 1003.
6	3	4	VIII, 169.
7	3	9	53.
8	3	10	1090.
9	4	2	69.
10	4	4	III, 266.
11	4	7	80 (1997) 25.
12	4	9	83.
13	4	12	VIII, 343.
14	5	12	IX, 1192.
15	6	2	23.
16	6	4	I, 103.
17	6	5	517.
18	6	9	86.
19	6	12	VII, 16.
20	7	2	217.
21	7	8	44 (1951) 307.
22	7	9	90.
23	8	2	57.
24	8	4	III, 11.
25	8	9	66.
26	8	12	V, 79.
27	9	4	X, 87.
28	9	9	90.
29	9	12	IX, 855.
30	9	16	289.
31	10	4	IV, 19.
32	10	12	IV, 496.
33	11	4	VII, 129.
34	11	9	152.
35	11	12	I, 977.
36	12	4	V, 43.
37	12	12	I, 817.
38	13	4	I, 32.
39	13	12	X, 8-9.
40	14	2	157.
41	14	4	VIII, 121.
42	14	9	68.
43	14	12	VIII, 1039.
44	14	15	18.
45	15	2	235.
46	15	9	58.
47	16	4	III, 49.
48	16	9	88.
49	16	12	I, 569.
50	17	8	83 (1993) 271.
51	17	9	53.
52	18	3	no. 4342
53	18	4	II, 320.
54	18	9	153.
55	18	17	390.
56	19	2	116.
57	19	9	76.
58	19	12	VIII, 821.
59	20	2	241.
60	20	5	691.
61	20	12	VII, 1244.
62	23	4	VIII, 2.
63	23	7	1 (1910) 268.
64	23	9	67.
65	23	12	III, 803.
66	23	16	288.
67	24	8	85 (1995) 489.
68	24	9	91.
69	24	12	VIII, 878.
70	24	16	287.
71	25	4	VII, 81.
72	25	9	64.
73	25	12	VII, 480.
74	26	4	bijvoegsel, 56.
75	26	7	82 (1999) 123.
76	26	12	IV, 396.
77	27	8	85 (1995) 34.
78	27	9	66.
79	27	12	I, 1055.
80	29	2	170.
81	29	4	VIII, 273.
82	29	9	145.
83	29	12	IV, 989.
84	30	3	no. 3447
85	30	4	II, 259.
86	30	9	69.
87	30	24	7, 20.
88	31	12	III, 971.
89	32	4	VI, 290.
90	32	8	85 (1995) 320.
91	32	12	VII, 608.
92	32	20	145.
93	33	4	VII, 85.
94	33	9	67.
95	33	10	1815.
96	33	12	I, 1211.
97	34	4	X, 119.
98	34	9	78.
99	34	12	II, 719.
100	35	4	XI, 45.
101	35	8	46 (1953) 49.
102	35	9	63.
103	35	12	III, 1287.
104	35	20	46.
105	36	4	II, 199.
106	36	8	79 (1988) 597.
107	36	9	102.
108	36	12	VIII, 130.
109	38	9	84.
110	38	12	IV, 956.
111	38	23	245.
112	39	2	128.
113	39	4	VI, 452.
114	39	5	445.
115	39	9	150.
116	39	10	898.
117	39	12	VIII, 890.
118	39	18	163.
119	39	19	219.
120	39	20	220.
121	40	7	67 (1983) 424.
122	40	9	84.
123	40	12	II, 1508.
124	41	4	IX. 29.
125	41	7	7 (1916) 286.
126	41	9	98.
127	41	12	V, 357.
128	43	2	42.
129	43	3	no. 0313
130	44	4	VIII, 236.
131	44	12	VIII, 1150.
132	45	16	289.
133	47	8	46 (1953) 558, 569.
134	47	9	58.
135	47	10	1702.
136	47	23	261.
137	47	24	2, 7.
138	48	4	XII, 33.
139	49	7	44 (1958) 291.
140	50	2	189.
141	50	4	IX, 165.
142	1063	5	108.
143	50	9	88.
