	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
0	1	2	minister secretaris van staat	0	0	0
1	5	2	koning van Holland	0	0	0
2	6	2	kanselier van de koning	0	0	0
3	7	2	minister vice-president	0	0	0
4	8	2	raad-secretaris	0	0	0
5	9	2	minister	0	0	0
6	10	2	inspecteur voor het geneeskundige	0	0	0
7	11	2	inspecteur voor het lagere schoolwezen	0	0	0
8	12	2	inspecteur voor maten en gewichten, tevens adviseur wis-, natuur-, schei- en werktuigkunde	0	0	0
9	27	2	secretaris sectie Staatsraad	0	0	0
10	28	2	directeur-generaal	0	0	0
11	30	2	requestmeester-generaal	0	0	0
12	31	2	controleur-generaal van de publieke inkomsten en uitgaven	0	0	0
13	32	2	eerste secretaris	0	0	0
14	33	2	tweede secretaris	0	0	0
15	34	2	directeur	0	0	0
16	35	2	commies-indexmaker	0	0	0
17	37	2	adjunct archivarius	0	0	0
18	38	2	commissaris-adviseur tot de zaken der wis-, natuur-, schei- en werktuigkunde	0	0	0
19	39	2	commissaris tot de zaken van het lager schoolwezen	0	0	0
20	40	2	commissaris tot de zaken der geneeskundige staatsregeling	0	0	0
21	41	2	commissaris tot de zaken van de landbouw	0	0	0
22	43	2	landsastronomist	0	0	0
23	45	2	inspecteur-generaal van de waterstaat	0	0	0
24	48	2	président délégué	0	0	0
25	49	2	keizer van Frankrijk	0	0	0
26	55	2	ministre	0	0	0
27	66	2	directeur-général	0	0	0
28	69	2	directeur du premier arrondissement de la police générale	0	0	0
29	70	2	inspecteur-général de la gendarmerie impériale	0	0	0
30	71	2	premier président	0	0	0
31	72	2	conseiller	0	0	0
32	74	2	grand maître	0	0	0
33	75	2	lieutenant-général de l' empereur	0	0	0
34	76	2	gouverneur-général des départements de la Hollande	0	0	0
35	77	2	koningin van Holland	0	0	0
36	78	2	intendant-général de l' intérieur en Hollande	0	0	0
37	81	2	raadpensionaris	0	0	0
38	82	2	opperstalmeester	0	0	0
39	83	2	grootmeester van het huis van de Koning	0	0	0
40	84	2	president	0	0	0
41	86	2	maître des Requêtes chargé du Service des Ponts et Chaussées en Hollande	0	0	0
