	alias	IDPersoon
0	Bertrand dit Béto	154
1	Rooie Pieter	638
2	Ville-sur-Illon, Comte de Lacépède.	145
3	Verhuell, Graaf van Sevenaer.	35
4	Twenth van Raephorst, Graaf van Rozenburg.	15
5	Winter, Graaf van Huessen	207
6	Cambacérès, Prince-Duc de Parme	71
7	Caulaincourt, Duc de Vicence	129
8	Clarke, Duc de Feltre	77
9	Duroc, Duc de Frioul.	126
10	Gaudin, Duc de Gaëte	81
11	Moncey, Duc de Conegliano	94
12	Lebrun, Prince-Duc de Plaisance	100
13	Maret, Duc de Bassano	73
14	Nompère de Champagny, Duc de Cadore	80
15	Régnier, Duc de Massa	84
16	Savary, Duc de Rovigo	85
17	Pol	871
18	Dedden	1442
19	Tymmerman	1486
20	Nanninks	1489
21	Borgerink	1325
22	Bruins	1308
23	Brons	1308
24	Heumelder	1505
25	Snijders	1387
26	Meilink	1676
27	Leeuwenkamp	1746
28	Adriaansen	1761
29	Kaelcken	1802
30	Nieuwenhuis	1818
31	Baars	1856
32	Caen	2438
33	Noever, Ten	861
34	Vrijdag	1306
35	Sut	2349
36	Bisschop	2572
37	Gerritzen	2629
38	Drochlet	2845
39	Droilhet	2845
40	Jalink	2806
41		2573
42	Issing	2907
43	Orklij	2749
44	Pijpers	2842
45	Dingman	2998
46	Haagen.	378
47	Gaschard	2987
48	Bonnikerhausen	3096
49	Feijt	2812
50	Schneitter	3175
51	Ogelwigt	3162
52	Suermond	2698
53		3112
54		1171
55		2192
56		462
57		122
58		65
59		1748
60		2510
61		1682
62		234
63	Van Middachten van Vrieswijk en Oldhagensdorp	1319
64	Muentz	1256
65	Sijpkens	350
66	L' Espinasse	831
67	Tobias.	57
68	Vermoedelijk Goske Cassa.	2832
69	Aufmorth	2598
70	Migchels	3339
71	Verhousen	20
72	Naam las eerst als Masehoek.	3368
73	Vatenbender	934
74	Heijden	3385
75	Of J.G.C.	3362
76	Blijswijk Parde	3371
77	Raay	3390
78	Fallee en Galle.	3367
79		3386
80	F.H. zou ook kunnen.	3207
81	NB Elders lijkt er sprake te zijn van andere voorletters in rijtje met dezelfde collega's (C.A. voor C.A. van Ray? Dus vermoedelijk gewoon een fout.)	2661
82	Elders J.H.	3185
83	Boudewijn (zie Van der Aa.)	629
84	Adrianus Francois	69
85	Jacob George Jeronimo	498
86		2986
87	Zou ook Tilenius kunnen zijn, zie hiertoe Van der Aa.	2893
88	Fromant	210
89	Gazinget	2968
90	Gerritsen	2629
91	Goetzee	1563
92	Zeylstra	1117
93	Kijmmel	2975
94	Kok	2885
95	Kühl	2753
96	Lelijveld	2646
97	Mallevault	259
98	Marnet	592
99	Covert	1014
100	Polarin	3393
101	Reijn	2887
102	Romerts	1632
103	Reynders	1604
104	Nijenhuis	1657
105	Barink	1659
106	Stokebrand	1672
107	Braak	1680
