	IDlokaal	lokaal	volgnummer
0	1	Arrondissement Amsterdam	0
1	2	Arrondissement Appingedam	0
2	3	Arrondissement Den Briel	0
3	4	Arrondissement Zierikzee	0
4	5	Arrondissement Nijmegen	0
5	6	Arrondissement Zutphen	0
6	7	Arrondissement Eindhoven	0
7	8	Arrondissement Rotterdam	0
8	9	Arrondissement Zwolle	0
9	10	Arrondissement Jever	0
10	11	Arrondissement Groningen	0
11	12	Arrondissement Emden	0
12	13	Arrondissement Tiel	0
13	14	Arrondissement Den Haag	0
14	15	Arrondissement Alkmaar	0
15	16	Arrondissement Leiden	0
16	17	Arrondissement Deventer	0
17	18	Arrondissement Gorinchem	0
18	19	Arrondissement Leeuwarden	0
19	20	Arrondissement Assen	0
20	21	Arrondissement Heerenveen	0
21	22	Arrondissement Hoorn	0
22	23	Arrondissement Arnhem	0
23	24	Arrondissement Goes	0
24	25	Arrondissement Dordrecht	0
25	26	Arrondissement Almelo	0
26	27	Arrondissement Utrecht	0
27	28	Arrondissement Haarlem	0
28	29	Arrondissement Sneek	0
29	30	Arrondissement Winschoten	0
30	31	District Ferwerd	0
31	32	District Balk	0
32	33	District Amsterdam-I	0
33	34	District Amsterdam-II	0
34	35	District Amsterdam-III	0
35	36	District Amsterdam-IV	0
36	37	District Amsterdam-V	0
37	38	District Amsterdam-VI	0
38	39	District Amsterdam-VII	0
39	40	District Amsterdam-VIII	0
40	41	District Amsterdam-IX	0
41	42	District Amsterdam-X	0
42	43	District Amsterdam-XI	0
43	44	District Amsterdam-XII	0
44	45	District Amsterdam-XIII	0
45	46	District Soestdijk	0
46	47	District Zeist	0
47	48	District Onderdendam	0
48	49	District Harlingen	0
49	50	District Leeuwarderadeel	0
50	51	District Leeuwarden	0
51	52	District Dokkum	0
52	53	District Brielle	0
53	54	District Middelburg-A	0
54	55	District Goor	0
55	56	District Middelburg-B	0
56	57	District Zuidhorn	0
57	58	District Tilburg	0
58	59	District Drachten	0
59	60	District Kampen	0
60	61	District Kortgene	0
61	62	District Doesburg	0
62	63	District Elst	0
63	64	District Groningen-I	0
64	65	District Groningen-II	0
65	66	District Delft	0
66	67	District Zwolle	0
67	68	District Berlikum	0
68	69	District Polanen	0
69	70	District Gouda	0
70	71	District Enkhuizen	0
71	72	District Rotterdam-I	0
72	73	District Almelo	0
73	74	District Appingedam	0
74	75	District Lochem	0
75	76	District Sliedrecht-Geertruidenberg	0
76	77	District Oirschot	0
77	78	District Zaltbommel	0
78	79	District Breda	0
79	80	District Medemblik	0
80	81	District Dordrecht	0
81	82	District Haarlem-I	0
82	83	District Haarlem-II	0
83	84	District Montfoort	0
84	85	District Sneek	0
85	86	District Schoonhoven	0
86	87	District Harderwijk	0
87	88	District Gorinchem	0
88	89	District Deventer	0
89	90	District Bredevoort	0
90	91	District Vries	0
91	92	District Den Haag-I	0
92	93	District Den Haag-II	0
93	94	District Den Haag-III	0
94	95	District Amsterdam XIV	0
95	96	District Den Bosch	0
96	97	District Weesp	0
97	98	District Zierikzee	0
98	99	District Steenbergen-Bergen op Zoom	0
99	100	District Tilburg	0
100	101	District Doetinchem	0
101	102	District Grave	0
102	103	District Rotterdam-II	0
103	104	District Rotterdam-III	0
104	105	District Nijmegen	0
105	106	District Ommen	0
106	107	District Arnhem	0
107	108	District Hengelo	0
108	109	District Barneveld	0
109	110	District Oisterwijk	0
110	111	District Etten	0
111	112	District Den Helder	0
112	113	District Hoorn	0
113	114	District Buren-Culemborg	0
114	115	District Nieuwersluis	0
115	116	District Oosterwierum	0
116	117	District Beverwijk	0
117	118	District Veghel	0
118	119	District Helmond	0
119	120	District Utrecht-I	0
120	121	District Utrecht-II	0
121	122	District Leiden-I	0
122	123	District Leiden-II	0
123	124	District Rotterdam-IV	0
124	125	District Raalte	0
125	126	District Wolvega	0
126	127	District Vlaardingen	0
127	128	District Leende	0
128	129	District Eindhoven	0
129	130	District Nieuwerkerk	0
130	131	District Zutphen	0
131	132	District Middelharnis	0
132	133	District Amersfoort	0
133	134	District Zweelo	0
134	135	District Hattem	0
135	136	District Amstelveen	0
136	137	District Ridderkerk	0
137	138	District Winschoten	0
138	139	District Alkmaar	0
139	140	District West-Zaandam	0
140	141	District Meppel	0
141	142	District Oldenzaal	0
142	143	District Geertruidenberg	0
143	144	District Oost-Zaandam	0
144	145	District Noordwijk	0
145	146	District Tiel	0
146	147	District Druten	0
147	148	District Veendam	0
148	149	District Assen	0
149	150	District Bodegraven	0
150	151	District Schiedam	0
151	152	District Wateringen	0
152	153	District Heusden	0
153	154	District Strijen	0
154	155	District Leidschendam	0
155	156	District Hazerswoude	0
156	157	District Scheemda-Veendam	0
157	158	District Purmerend	0
158	159	District Vollenhove	0
159	160	District Oss	0
160	161	District Bergen op Zoom	0
161	162	District Groenlo	0
162	163	District Hunsingo	0
163	164	District Fivelgo	0
164	165	Stad Groningen	0
165	166	District Westerkwartier	0
166	167	Baarderadeel	0
167	168	Tietjerksteradeel	0
168	169	Opsterland	0
169	170	Baarderadeel	0
170	171	Smallingerland	0
171	172	Menaldumadeel	0
172	174	Barradeel	0
173	175	Leeuwarderadeel	0
174	176	Oostdongeradeel	0
175	177	Idaarderadeel	0
176	178	Franekeradeel	0
177	179	Lemsterland	0
178	180	Schoterland	0
179	181	Hemelumer Oldeferd	0
180	182	Hennaarderadeel	0
181	183	Gaasterland-Sloten	0
182	184	Ferwerderadeel	0
183	185	Wymbritseradeel	0
184	186	Achtkarspelen	0
185	187	Het Bildt	0
186	188	Weststellingwerf	0
187	189	Haskerland	0
188	190	Kollumerland	0
189	191	Westdongeradeel	0
190	192	Wonseradeel	0
191	193	Rauwerderhem	0
192	194	District Haarlem	0
193	195	Aengwirden	0
194	196	Utingeradeel	0
195	197	District Middelburg	0
196	198	District Amsterdam-XIV	0
197	199	District Goes	0
198	200	District Sliedrecht	0
199	201	Oost-Friesland	0
200	202	District Middelburg-II/Vlissingen	0
201	203	Arrondissement Amersfoort	0
202	204	District Scheemda	0
203	205	District Den Haag-III/Leidschendam	0
204	206	Stad Almelo	0
205	207	Landgericht Almelo	0
206	208	Blokzijl	0
207	209	Borne	0
