	IDBron	Bron	Periode
0	2	O. Vries, e.a., De heeren van den raede. Biografieën en groepsportret van de raadsheren van het hof van Friesland, 1499-1811 (Hilversum 1999)	9
1	3	Algemeen Nederlandsch Familieblad (1883-1905)	9
2	4	Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983)	9
3	5	A.J. Mensema, De ridderschap van Overijssel 1460-1795 (3 dln., Zwolle 1993)	9
4	6	H.G.A. Obreen, Geschiedenis van het geslacht van Wassenaer (Leiden 1903)	9
5	7	A.P. van Nienes en M. Bruggeman, Archieven van de Friese stadhouders (Leeuwarden 2002)	9
6	8	E. Smits, De Friesche admiraliteit boven water (2 dln., Dokkum 1996)	9
7	9	M. de Haan Hettema en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (2 dln., Leeuwarden 1846)	9
8	10	A.J.C.M. Gabriëls, De heren als dienaren en de dienaar als heer. Het stadhouderlijk stelsel in de tweede helft van de achttiende eeuw ('s-Gravenhage 1990)	9
9	11	De Wapenheraut ('s-Gravenhage 1897-1920)	9
10	12	Nederland's Patriciaat. Genealogieën van vooraanstaande geslachten ('s-Gravenhage 1910-)	9
11	13	Nederland's Adelsboek ('s-Gravenhage 1903-)	9
12	14	Genealogische en heraldische bladen (1906-1915)	9
13	15	P. Brood e.a. ed., Homines novi. De eerste volksvertegenwoordigers van 1795 (Amsterdam 1993)	9
14	16	Jaarboek van het Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947- )	9
15	17	De Nederlandsche Leeuw ('s-Gravenhage 1883-)	9
16	18	Tresoar	9
17	19	S.P. de Jong, J.A. Schuur en P.M. Peucker, Inventaris van de archieven van de gewestelijke bestuursinstellingen van Friesland 1580-1795 (Leeuwarden 1998)	9
18	20	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln.; Leiden 1911-1937)	9
19	21	S. Haagsma, Lijst van ambtenaren en beambten bij het collegie ter admiraliteyt in Vrieslandt (1899; handschrift 9360 in bibliotheek Tresoar )	9
20	22	Yme Kuiper, Adel in Friesland 1780-1880 (Groningen 1993)	9
21	23	Jaarboek van den Nederlandschen adel ('s-Gravenhage/Oisterwijk 1888-1894)	9
22	24	Leeuwarder Historische Reeks	9
23	25	G. Bakker, ‘Leden fan de Warkumer froedskip tusken 1632 en 1795’, in: idem ed., De sted Warkum (Bolsward 1967) 32-41.	9
24	26	E. Napjus, Geschiedkundige kronijk en beschrijving van de stad Sneek (Sneek 1826)	9
25	27	H. Baerdt van Sminia, Nieuwe naamlijst van grietmannen van de vroegste tijden af tot het jaar 1795, met eenige geschiedkundige aanteekeningen (Leeuwarden 1837)	9
26	28	Nationaal Archief	9
27	31	Resolutiën der Staten-Generaal	9
28	32	P.D. de Vos, De vroedschap van Zierikzee van de tweede helft der 16e eeuw tot 1795 (2e druk, Alphen aan den Rijn 1982)	9
29	33	O. Schutte, Repertorium der Nederlandse vertegenwoordigers, residerende in het buitenland 1584-1810 ('s-Gravenhage 1976)	9
30	34	Genealogysk jierboek	9
31	35	P. Hofland, Leden van de Raad. De Amsterdamse gemeenteraad 1814-1941 (Amsterdam 1998)	9
32	36	A.J. van der Aa, Biographisch woordenboek der Nederlanden (12 dln., Haarlem 1852-1878)	9
