	IDRegent	IDBron	deel en paginanummer
0	3	2	179.
1	4	2	179.
2	5	2	180.
3	6	2	181.
4	7	2	181.
5	7	27	88.
6	8	2	182.
7	9	2	182.
8	10	2	183.
9	11	2	183.
10	12	2	183.
11	12	27	287.
12	13	2	184.
13	13	27	170 en 187.
14	14	2	186.
15	15	2	186.
16	16	2	187.
17	17	2	188.
18	18	2	189.
19	19	2	190.
20	20	2	190.
21	21	2	191.
22	22	2	191.
23	23	2	192.
24	24	2	194.
25	25	2	195.
26	26	2	195.
27	27	2	196.
28	28	2	196.
29	29	2	196.
30	30	2	197.
31	31	2	198.
32	32	2	199.
33	33	2	199.
34	34	2	200.
35	35	2	200.
36	36	2	201.
37	37	2	201.
38	38	2	202.
39	39	2	203.
40	40	2	204.
41	41	2	205.
42	41	27	187.
43	42	2	206.
44	43	2	207.
45	44	2	208.
46	45	2	209.
47	46	2	209.
48	47	2	210.
49	48	2	210.
50	49	2	211.
51	50	2	211.
52	51	2	211.
53	51	27	39.
54	52	2	212.
55	53	2	213.
56	54	2	213.
57	55	2	214.
58	56	2	216.
59	56	9	I, 6 en II, 6.
60	57	2	216.
61	58	2	217.
62	59	2	218.
63	60	2	220.
64	61	2	220.
65	62	2	221.
66	63	2	222.
67	64	2	223.
68	65	2	224.
69	66	2	225.
70	67	2	225.
71	68	2	226.
72	69	2	226.
73	70	2	227.
74	71	2	227.
75	72	2	229.
76	73	2	230.
77	74	2	231.
78	75	2	232.
79	75	27	175.
80	76	2	232.
81	77	2	233.
82	78	2	233.
83	79	2	234.
84	80	2	235.
85	81	2	236.
86	82	2	237.
87	83	2	237.
88	84	2	238.
89	84	27	314.
90	85	2	239.
91	86	2	240.
92	87	2	241.
93	88	2	241.
94	89	2	242.
95	90	2	242.
96	91	2	243.
97	92	2	244.
98	93	2	244.
99	94	2	245.
100	95	2	245.
101	96	2	246.
102	97	2	247.
103	98	2	247.
104	99	2	248.
105	100	2	248.
106	101	2	249.
107	102	2	249.
108	103	2	250.
109	104	2	251.
110	105	2	251.
111	106	2	252.
112	107	2	252.
113	108	2	253.
114	109	2	253.
115	110	2	253.
116	111	2	254.
117	112	2	256.
118	112	9	I, 226 en II, 152.
119	113	2	257.
120	114	2	258.
121	115	2	259.
122	116	2	259.
123	117	2	260.
124	118	2	261.
125	118	9	I, 250 en II, 170.
126	119	2	262.
127	120	2	262.
128	121	2	263.
129	122	2	263.
130	123	2	264.
131	124	2	266.
132	125	2	267.
133	126	2	267.
134	126	27	308.
135	127	2	268.
136	128	2	270.
137	129	2	270.
138	129	9	I, 369 en II, 256.
139	129	20	II, 1255.
140	129	21	4.
141	130	2	271.
142	131	2	273.
143	132	2	274.
144	132	8	I, 6.
145	132	9	I, 99 en II, 66.
146	132	20	IV, 586.
147	133	2	275.
148	134	2	276.
149	135	2	276.
150	136	2	277.
151	136	4	120.
152	136	27	28.
153	137	2	279.
154	138	2	280.
155	139	2	280.
156	140	2	281.
157	140	9	I, 330 en II, 219.
158	140	11	11 (1907) 388.
159	141	2	282.
160	142	2	283.
161	143	2	284.
162	144	2	285.
163	145	2	286 en 428.
164	146	2	287.
165	147	2	288.
166	148	2	289.
167	148	9	I, 368 en II, 256.
168	149	2	290.
169	149	9	I, 10 en II, 10.
170	149	20	VII, 54.
