	IDCollege	Periode	College	VolgnummerBasiscollege	Basis	Id
0	1	9	Hof van Friesland (1499-1811)	0	0	24
1	2	9	Hof van Holland, Zeeland en West-Friesland (1428-1802)	0	0	14
2	5	9	Gedeputeerde Staten van Friesland (1577-1795)	0	0	0
3	6	9	Admiraliteit in Friesland (1596-1795)	0	0	0
4	7	9	Admiraliteit te Amsterdam (1586-1795)	0	0	0
5	8	9	College van Superintendentie der Admiralteit (1589-1593)	0	0	0
6	9	9	Raad van State (1588-1795)	0	0	0
7	11	9	Staten-Generaal der Verenigde Nederlandse Provinciën (1588-1796)	0	0	0
8	15	9	Generaliteitsrekenkamer (1608-1799)	0	0	0
9	31	9	Provinciale Rekenkamer van Friesland (1582-1795)	0	0	0
10	32	9	Ridderschap van Overijssel	0	1	0
11	36	9	Vroedschap van Harlingen	0	1	0
12	43	9	Vroedschap van Leeuwarden	0	1	0
13	44	9	Vroedschap van Sneek	0	1	0
14	45	9	Admiraliteit op de Maze (1586-1795)	0	0	0
15	46	9	Vroedschap van Workum	0	1	0
16	47	9	Ridderschap van Holland	0	1	0
17	48	9	Admiraliteit in het Noorderkwartier (1589-1795)	0	0	0
18	50	9	Vroedschap van Stavoren	0	1	0
19	55	9	Vroedschap van Franeker	0	1	0
20	56	9	Vroedschap van IJlst	0	1	0
21	57	9	Vroedschap van Dokkum	0	1	0
22	58	9	Vroedschap van Sloten	0	1	0
23	59	9	Vroedschap van Bolsward	0	1	0
24	60	9	Staten van Friesland (1580-1795)	0	0	0
25	62	9	VOC ter kamer Amsterdam	0	0	0
26	64	9	Raad van Leeuwarden	0	1	0
27	65	9	Vroedschap van Hindeloopen	0	1	0
28	66	9	Vroedschap van Zierikzee	0	1	0
