	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
0	1	9	bestuursraad	0	0	0
1	2	9	extraordinaris raadsheer	0	0	0
2	3	9	justitieraad	0	0	0
3	4	9	president-raadsheer	0	0	0
4	5	9	raadsheer	0	0	0
5	6	9	secretaris	0	0	0
6	7	9	procureur-generaal	0	0	0
7	8	9	advocaat-fiscaal	0	0	0
8	9	9	griffier	0	0	0
9	10	9	extraordinaris bestuursraad	0	0	0
10	12	9	rentmeester-generaal	0	0	0
11	13	9	gedeputeerde	0	0	0
12	14	9	gecommitteerde	0	0	0
13	15	9	ordinaris gedeputeerde	0	0	0
14	19	9	lid	0	1	0
15	20	9	ontvanger-generaal	0	0	0
16	21	9	tweede secretaris	0	0	0
17	22	9	pensionaris	0	0	0
18	23	9	eerste presiderende raad	0	0	0
19	25	9	commies-generaal van de convooien en licenten	0	0	0
20	26	9	tweede advocaat-fiscaal	0	0	0
21	27	9	adjunct advocaat-fiscaal	0	0	0
22	28	9	adjunct secretaris	0	0	0
23	29	9	lid	0	0	0
