	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode	overlijdensdag	overlijdensmaand	Opmerkingen2
0	16	Leisnig	van	4	1	Hugo	1				1465.0	0	1538	0		9	21.0	3.0	
1	41	Botnia		5	1	Tialingh	1					0	1533	0	"Adelstitel: ridderslag door stadhouder Floris van Egmond 1 juli 1515.
Overig: was grietman van Ferwerderadeel, van Hennaarderadeel 1513-1524 (vermoedelijk) en van Franekeradeel vanaf 1521."	9			
2	45	Mulert		5	4	Gerard	1					0	1538	0	"Persoonsgegevens: geboren te Utrecht.
Overig: Memorialen Rosa vermeldt Gerard Mulert als onbezoldigd raadsheer in het Hof van Holland 1516-1519 en 1529. Raadsheer in de Geheime Raad in 1519 of 1523."	9	7.0	12.0	
3	57	Naarden	van	1	4	Maarten	0				1490.0	1	1567	0	Overig: luitenant Hoofdmannenkamer Groningen 1541-1557.	9		1.0	identiek aan nr. 371 in database middeleeuwen
4	58	Nicolai		5	4	Everard	1				1497.0	1	1561	0	Persoonsgegevens: het geboortejaar is mogelijk 1498. Zoon van Nicolas Everaerts (1462-1532).	9	10.0	5.0	
5	62	Hompens		1	4	Hayo Hermannus	0				1495.0	1	1540	0		9			
6	70	Hoxwier	van	5	4	Hector	1		Rijnauwen		1502.0	0	1546	0	Adelstitel: ridder 1545.	9	7.0	8.0	
7	80	Persijn		1	4	Hippolitus	0					0	1568	0	Overig: vermeld als onbezoldigd raadsheer in het Hof van Holland 1542 en 1549.	9	3.0	12.0	identiek aan nr. 72 in database middeleeuwen.
8	81	Deyn		5	4	Diederick	1					0	1582	1	Persoonsgegevens: het jaar van overlijden is mogelijk 1583.	9			
9	95	Charles		5	4	Jan	1				1534.0	0	1598	0		9	13.0	9.0	
