	IDlokaal	lokaal	volgnummer
0	1	Idaarderadeel	0
1	2	Oostdongeradeel	0
2	3	Achtkarspelen	0
3	4	Dantumadeel	0
4	5	Leeuwarderadeel	0
5	6	Smallingerland	0
6	7	Ferwerderadeel	0
7	8	Westdongeradeel	0
8	9	Rauwerderhem	0
9	10	Tietjerksteradeel	0
10	11	Kollumerland	0
11	12	Hennaarderadeel	0
12	13	Wonseradeel	0
13	14	Baarderadeel	0
14	15	Franekeradeel	0
15	16	Barradeel	0
16	17	Wymbritseradeel	0
17	18	Het Bildt	0
18	19	Menaldumadeel	0
19	20	Hemelumer Oldeferd	0
20	21	Lemsterland	0
21	22	Utingeradeel	0
22	23	Haskerland	0
23	24	Oost-Stellingwerf	0
24	25	West-Stellingwerf	0
25	26	Doniawerstal	0
26	27	Engwirden	0
27	28	Schoterland	0
28	29	Opsterland	0
29	30	Gaasterland	0
30	31	Leeuwarden	0
31	32	Bolsward	0
32	33	Franeker	0
33	34	Sneek	0
34	35	Dokkum	0
35	36	Harlingen	0
36	37	Stavoren	0
37	38	Sloten	0
38	39	Workum	0
39	40	IJlst	0
40	41	Hindeloopen	0
41	42	Ridderschap van Holland	0
