	ID	Periode	IDRegent	IDFunctie	IDCollege	Begindag	Beginmaand	Beginjaar	Einddag	Eindmaand	Eindjaar	Vertegenwoordigend	provinciaal	Opmerkingen	lokaal	regio	stand
0	2	0	1	1	1	6.0	6.0	1499.0			1503.0	0	0.0				
1	4	0	3	1	1			1505.0			1508.0	0	0.0				
2	5	0	4	1	1	25.0	1.0	1509.0			1541.0	0	0.0				
3	8	0	7	1	1	30.0	8.0	1510.0			1543.0	0	0.0				
4	9	0	8	1	1	12.0	11.0	1531.0			1554.0	0	0.0				
5	12	0	11	1	1	30.0	7.0	1543.0			1549.0	0	0.0	Opvolger van Klaas van Essche. Eed 16 augustus 1543. Beëindigd door overlijden.			
6	13	0	12	1	1	31.0	6.0	1544.0			1549.0	0	0.0	Opvolger van Zeger van Alveringen. Eed 13 augustus. Bos-Rops, Power of money, geeft 30 juni 1544 als commissie en 1553 als jaar van terugtreden.			
7	14	0	13	1	1	11.0	3.0	1549.0			1551.0	0	0.0	Eed 28 maart 1549. Bos-Rops, Power of money, geeft 1552 als jaar van terugtreden.			
8	18	0	17	1	1	12.0	9.0	1554.0			1567.0	0	0.0	Opvolger van Vincent Dammas. Eed 26 september 1554. Continuatie op 28 juli 1556 door Filips II als eerder door zijn vader Karel V, eed op 29 oktober 1556. Bos-Rops, Power of money, heeft 28 jan. 1552 als commissie en terugtreden in 1559 als rekenmeester.			
9	27	0	26	1	1						1573.0	0	0.0				
10	37	0	8	4	1	2.0	9.0	1516.0	10.0	3.0	1532.0	0	0.0	Vincent Dammas was in 1516 klerk-ordinaris van de Rekenkamer en onder de eerste secretaris en audiëncier mr. Filips Haneton klerk van de rekening van de rechten. Eed 16 september 1516. De eerste rekening begint op 17 juni 1526.			
11	4024	0	991	24	28	19.0	6.0	1558.0			1559.0	0	0.0		0.0	0.0	0.0
12	79	0	13	4	1	19.0	7.0	1543.0	11.0	3.0	1549.0	0	0.0				
13	81	0	9	4	1	12.0	11.0	1531.0	2.0	12.0	1541.0	0	0.0	Bos-Rops, Power of money,  geeft 12 november 1543 als commissiedatum.			
14	82	0	38	4	1	11.0	3.0	1532.0	19.0	7.0	1543.0	0	0.0	Op de gegeven einddatum als gevlucht auditeur opgevolgd door Albert van Loo. Volgens Bos-Rops, Power of money, commissie op 12 november 1531 en in 1543 ontslagen.			
15	87	0	41	1	1	16.0	12.0	1488.0			1508.0	0	0.0				
16	102	0	41	4	1	1.0	8.0	1477.0	24.0	8.0	1489.0	0	0.0	Bos-Rops, Power of money, geeft 27 juni 1477 als commissiedatum.			
17	104	0	47	4	1	25.0	8.0	1489.0	24.0	8.0	1499.0	0	0.0				
18	106	0	48	4	1	29.0	3.0	1564.0			1568.0	0	0.0				
19	107	0	6	4	1	1.0	2.0	1509.0	31.0	12.0	1511.0	0	0.0	Bos-Rops, Power of money, heeft 25 januari 1509  als commissie.			
20	108	0	4	4	1	1.0	1.0	1506.0	31.0	1.0	1509.0	0	0.0	Bos-Rops, Power of money, geeft 16 december 1505 als commissie.			
21	109	0	14	4	1	1.0	4.0	1550.0	31.0	3.0	1552.0	0	0.0	Bos-Rops, Power of money, geeft 23 februari 1545 als commissie tot auditeur.			
