	IDBron	Bron	Periode
0	2	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln., Leiden 1911-1937)	0
1	6	Koopmans, J.W., De Staten van Holland en de Opstand. De ontwikkeling van hun functies en organisatie in de periode 1544-1588 ('s-Gravenhage 1990)	0
2	8	Blécourt, A.S. de en E.M. Meijers, Memorialen van het Hof (den Raad) van Holland, Zeeland en West-Friesland, van de secretaris Jan Rosa. Deelen I, II en III (Haarlem 1929)	0
3	9	Postma, C., Het Hoogheemraadschap van Delfland in de middeleeuwen, 1289-1589 (Hilversum 1989)	0
4	10	Damen, M., De staat van dienst. De gewestelijke ambtenaren van Holland en Zeeland in de Bourgondische periode (1425-1482) (Hilversum 2002)	0
5	11	Margry, P.J. e.a., Van Camere vander Rekeninghen tot Algemene Rekenkamer. Zes eeuwen Rekenkamer. Gedenkboek bij het 175-jarig bestaan van de Algemene Rekenkamer ('s-Gravenhage 1989)	0
6	13	Bos-Rops, J.A.M.Y., 'The power of money. Financial officers in Holland in the late 15th and early 16th century' in: Robert Stein ed., Powerbrokers in the late middle-ages/Les courtiers du pouvoir au bas moyen-âge (Leuven 2001) 47-66,	0
7	16	Baelde, M., De collaterale raden onder Karel V en Filips II (1531-1578). Bijdrage tot de geschiedenis van de centrale instellingen in de zestiende eeuw (Brussel 1965)	0
8	17	Raad van State 450 jaar ('s-Gravenhage 1981)	0
9	18	Doeleman, F., Lijst van civiele rechtszaken voor het Hof van Utrecht, waarvan de processtukken in het archief van het Hof zijn bewaard gebleven 1530-1630 (Utrecht 1980)	0
10	19	Kerckhoffs-de Heij, A.J.M., De Grote Raad en zijn functionarissen 1477-1531. Biografieën van raadsheren (Amsterdam 1980)	0
11	20	Maris, A.J. en  H.L. Driessen, Het archief van het Hof van Gelre en Zutphen (1543-1795), het Hof van Justitie (1795-1802) en het departementaal Gerechtshof (1802-1811) I (Arnhem 1978)	0
12	21	Enklaar, D.Th., Het landsheerlijk bestuur in het Sticht Utrecht aan deze zijde van den IJsel gedurende de regeering van bisschop David van Bourgondië 1456-1496 (Utrecht 1922)	0
13	22	Kalveen, C.A. van, Het bestuur van bisschop en Staten in het Nedersticht, Oversticht en Drenthe, 1483-1520 (Utrecht 1974)	0
14	23	Cools, H., Mannen met macht. Edellieden en de Moderne Staat in de Bourgondisch-Habsburgse landen (1475-1530) (Zutphen 2001)	0
15	25	Cuijpers, Th. e.a., Brabantse biografieën. Levensbeschrijvingen van bekende en onbekende Noordbrabanders (Amsterdam/Meppel 1992-)	0
16	26	Eekhout, L., Het admiralenboek. De vlagofficieren van de Nederlandse marine, 1382-1991 (Amsterdam 1992)	0
17	27	Nationaal Biografisch Woordenboek (14 dln., Brussel 1964-1992)	0
18	29	Maris, A.J., 'De raadkamers of hoven van Karel den Stoute in Gelre en Zutphen, 1473-1477', Bijdragen en Mededelingen Gelre LVI (1957) 45-123,	0
19	33	Stapel, A.S., Inventaris van het archief van de Staten van Utrecht in de landsheerlijke tijd 1375-1581 (Utrecht 1986)	0
20	35	Sterk, J., Philips van Bourgondië (1465-1524), bisschop van Utrecht, als protagonist van de Renaissance. Zijn leven en maecenaat (Zutphen 1980)	0
21	37	Groot Placaatboek […] der […] Staten ’s Lands van Utrecht […], J. van de Water ed. (3 dln., Utrecht 1729)	0
22	38	Zilverberg, S.B.J., David van Bourgondië, bisschop van Terwaan en van Utrecht (± 1427-1496) (Groningen/Djakarta 1951)	0
23	39	Utrechts Archief, Het	0
24	40	Stroobant, L., Les magistrats du Grand conseil de Malines (Antwerpen 1903)	0
25	42	Hoven van Genderen, B. van den, De heren van de kerk. De kanunniken van Oudmunster te Utrecht in de late middeleeuwen (Zutphen 1997)	0
26	46	Rompaey, J. van, De Grote Raad van de hertogen van Boergondie en het parlement van Mechelen (Brussel 1973)	0
