	IDRegent	IDBron	deel en paginanummer
0	1	2	IV, 194.
1	1	13	63.
2	1	48	20-22 en 26.
3	1	57	76.
4	1	236	1703-1707, 1714-1720, 1721-1730.
5	1	116	263.
6	2	13	63.
7	2	68	Grafelijkheidsrekenkamer Registers, inv.nr. 5, f. 190v.
8	3	68	Pieter Steyn, inv.nr. 478.
9	4	13	63-64.
10	4	16	248.
11	4	274	5251-5253.
12	5	8	LIX.
13	5	10	450.
14	5	13	63.
15	5	150	370
16	5	68	Grafelijkheidsrekenkamer Registers, inv.nr. 6, f. 15v.
17	5	116	265.
18	6	13	63-64.
19	6	68	Grafelijkheidsrekenkamer Rekeningen, inv.nrs. 4625, f. 1v.
20	7	10	459.
21	7	13	63.
22	8	13	63-64.
23	8	68	Pieter Steyn, inv.nr. 478. Grafelijkheidsrekenkamer Registers, inv.nr. 492, f. 179r-v.
24	9	13	63-64.
25	9	68	Grafelijkheidsrekenkamer Registers, inv.nrs. 494, f. 24r-v en f. 226v-227r. en 495, f. 101v-102v.
26	9	111	aantekeningen W. van der Pas.
27	10	13	64.
28	10	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 18r-v.
29	11	8	LXIII.
30	11	13	63.
31	11	68	Grafelijkheidsrekenkamer Registers, inv.nr. 492, f. 39r-v.
32	12	6	324.
33	12	13	64.
34	12	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 24r-v en f. 62v-63r.
35	13	13	63-64.
36	13	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 118r-v.
37	13	112	223.
38	14	13	63-64.
39	14	68	Grafelijkheidsrekenkamer Registers, inv.nrs. 492, f. 143v-144v, 494, f. 223r-v en 495, f. 233v-235v.
40	15	13	63.
41	15	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 173v-174r en f. 219r-v.
42	17	13	63-64.
43	17	18	17.
44	17	39	Financiële instellingen van de landsheer en van de Staten van Utrecht, inv.nr. 29.
45	17	68	Grafelijkheidsrekenkamer Registers, inv.nrs. 494, f. 183v-184r en f. 220v-221r, en 625.
46	17	111	aantekeningen W. van der Pas.
47	18	13	63.
48	18	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 101v-102v.
49	19	13	64.
50	19	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 102v-103v en f. 130v-131r.
51	20	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 228r-229r.
52	21	13	64.
53	21	68	Grafelijkheidsrekenkamer Registers, inv.nrs. 495, f. 156v-157r, f. 230v-231v en f. 233v-235v, 625 en 1570. Pieter Steyn, inv.nr. 478.
54	22	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 162r-v. Pieter Steyn, inv.nr. 478.
55	23	8	LXIV.
56	23	68	Pieter Steyn, inv.nr. 478. Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 243v-244v.
57	25	68	Pieter Steyn, inv.nr. 478.
58	26	274	374-407, 408, 409, 1782-1815, 1941-1959, 2013-2022, 3294 , 5243. Pieter Steyn, inv.nr. 478.
59	27	6	323.
60	27	8	XLVIII.
61	27	68	Grafelijkheidsrekenkamer Rekeningen, inv.nrs. 625 en 1570. Pieter Steyn, inv.nr. 478.
62	27	116	272.
63	28	68	Pieter Steyn, inv.nr. 478.
64	29	6	319.
65	29	127	22 (1929-1930) 96-97.
66	31	6	140.
67	31	68	Pieter Steyn, inv.nr. 478.
68	32	68	Pieter Steyn, inv.nr. 478.
69	33	40	536.
70	33	68	Pieter Steyn, inv.nr. 478.
71	35	6	141.
72	35	68	Pieter Steyn, inv.nr. 478.
73	35	112	223.
74	36	13	64.
75	36	274	4625, 5249-5250.
76	37	272	1222-1236.
77	38	13	64.
78	38	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 40v-41r.
79	39	13	64.
80	39	68	Grafelijkheidsrekenkamer Registers, inv.nr. 494, f. 144v-145r.
81	40	13	
82	40	68	Grafelijkheidsrekenkamer Registers, inv.nr. 5, f. 191r.
83	41	10	491.
84	41	13	63-64.
85	41	68	Grafelijkheidsrekenkamer Registers, inv.nr. 3, f. 137r.
86	44	8	LIX.
87	44	9	413.
88	44	116	269.
89	45	6	319.
90	45	107	2445.
91	46	11	113.
92	46	68	Handschriften Derde Afdeling, inv.nr. 815.
93	47	274	5247-5428.
94	48	13	64.
95	48	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 156v-157r.
96	49	72	29 nr. 49.
97	49	92	401.
98	50	274	5337.
99	51	13	66 noot 38.
100	51	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 141r-142r en f. 246v-247r.
101	52	13	64.
102	52	68	Grafelijkheidsrekenkamer Registers, inv.nr. 495, f. 129r-v en f. 162r-v.
103	53	6	58 en 111.
104	53	8	LIX en LXIII.
105	53	13	64.
106	53	299	32-37.
107	54	8	XXXIV en XLVII.
108	54	9	414-415.
