	IDFunctie	Periode	Functie	Volgnummer	Lokaal	Id
0	1	0	rekenmeester	0	0	0
1	2	0	rekenmeester-supernumerair	0	0	0
2	3	0	rekenmeester-extraordinaris	0	0	0
3	4	0	auditeur	0	0	0
4	5	0	deurwaarder	0	0	0
5	7	0	adjunct-auditeur	0	0	0
6	8	0	auditeur-ordinaris	0	0	0
7	9	0	griffier	0	0	0
8	10	0	klerk-auditeur	0	0	0
9	11	0	secretaris	0	0	0
10	12	0	rentmeester exploten	0	0	0
11	13	0	auditeur-extraordinaris	0	0	0
12	14	0		0	0	0
13	15	0	ontvanger espargnes	0	0	0
14	16	0	substituut-registermeester	0	0	0
15	17	0	president	0	0	0
16	18	0	raad	0	0	0
17	19	0	commissaris	0	0	0
18	21	0	ontvanger-generaal	0	0	0
19	22	0	substituut-griffier	0	0	0
20	24	0	procureur-generaal	0	0	0
21	25	0	advocaat-fiscaal	0	0	0
22	26	0	raad extraordinaris	0	0	0
23	27	0	rentmeester-generaal	0	0	0
24	29	0	auditeur rekeningen Zeeland	0	0	0
25	31	0	voorzitter	0	0	0
26	32	0	hoofd-voorzitter	0	0	0
27	33	0	hoofd	0	0	0
28	34	0	lid	0	0	0
29	35	0	raadsheer	0	0	0
30	36	0	thesaurier-generaal	0	0	0
31	37	0	gecommitteerde	0	0	0
32	39	0	stadhouder	0	0	0
33	40	0	kanselier	0	0	0
34	41	0	momber	0	0	0
35	42	0	raad en momber	0	0	0
36	43	0	tresorier	0	0	0
37	44	0	bisschoppelijke raad	0	0	0
38	45	0	dingwaarder	0	0	0
39	46	0	lid Schive	0	0	0
40	47	0	president Schive	0	0	0
41	48	0	landrentmeester-generaal	0	0	0
42	50	0	gouverneur	0	0	0
43	51	0	rentmeester	0	0	0
44	52	0	ontvanger exploiten	0	0	0
45	54	0	syndicus	0	0	0
46	56	0	procureur	0	0	0
47	58	0		0	0	0
48	59	0	rentmeester geconfisqeerde goederen	0	0	0
49	63	0	substituut-procureur-generaal	0	0	0
50	64	0	controleur	0	0	0
51	66	0	landsadvocaat	0	0	0
52	72	0	stadhouder lenen	0	0	0
53	75	0	ontvanger-generaal beden	0	0	0
54	77	0	advocaat Staten van Holland	0	0	0
55	79	0	controleur grafelijke ambtenaren	0	0	0
56	80	0	rentmeester beden	0	0	0
57	85	0	audiëncier	0	0	0
58	86	0	raadsheer extraordinaris	0	0	0
59	88	0	president-raadsheer	0	0	0
60	89	0	overste	0	0	0
61	90	0	baljuw van Zuidholland	0	0	0
62	91	0	baljuw van Noordholland	0	0	0
63	92	0	schout van Wemeldinge	0	0	0
64	93	0	schout van Alkmaar	0	0	0
65	94	0	schout van Beverwijk	0	0	0
66	95	0	schout van Delft	0	0	0
67	96	0	baljuw van Rotterdam	0	1	0
68	98	0	baljuw van Woerden	0	0	0
69	99	0	dijkgraaf van Woerden	0	0	0
70	100	0	ruwaard van Putten	0	0	0
71	101	0	baljuw van Putten	0	0	0
72	102	0	dijkgraaf van Putten	0	0	0
73	103	0	kastelein van Geervliet	0	0	0
74	104	0	baljuw van Strijen	0	0	0
75	105	0	dijkgraaf van Strijen	0	0	0
76	106	0	muntmeester te Dordrecht	0	0	0
77	107	0	muntmeester te Geertruidenberg	0	0	0
78	108	0	muntmeester-generaal	0	0	0
79	109	0	waardijn	0	0	0
80	110	0	waardijn van Dordrecht	0	0	0
81	111	0	essayeur Hollandse Munt	0	0	0
82	112	0	muntmeester te Zevenbergen	0	0	0
83	113	0	muntmeester te 's-Gravenhage	0	0	0
84	114	0	essayeur te Dordrecht	0	0	0
85	115	0	essayeur-generaal	0	0	0
86	193	0	kapitein van Zeeland	0	0	0
87	194	0	kapitein van Haarlem	0	0	0
88	195	0	dijkgraaf van Noord-Beveland	0	0	0
89	196	0	houtvester van Haarlemmerhout	0	0	0
90	197	0	kastelein van Teilingen	0	0	0
91	198	0	burggraaf van Zeeland	0	0	0
92	200	0	dijkgraaf Beoosten Ierseke	0	0	0
93	201	0	baljuw van Goes	0	0	0
94	202	0	kastelein van Gorinchem	0	0	0
95	203	0	drossaard van het Land van Arkel	0	0	0
96	204	0	drossaard van Gorinchem	0	0	0
97	205	0	kastelein van Gouda	0	0	0
98	207	0	registerbewaarder	0	0	0
99	208	0	substituut-baljuw van Putten	0	0	0
100	209	0	schout van Putten	0	0	0
101	210	0	rekenmeester domeinen Karel van Charolais	0	0	0
102	211	0	klerk van de rentmeester-generaal	0	0	0
103	212	0	schout van Sijbekarspel	0	0	0
104	213	0	baljuw van Nieuwenburg	0	0	0
105	214	0	kastelein van Nieuwenburg	0	0	0
106	215	0	rentmeester van Nieuwenburg	0	0	0
107	216	0	baljuw van Rijnland	0	0	0
108	217	0	baljuw van Gouda	0	0	0
109	218	0	schout van Abbekerk	0	0	0
110	219	0	schout van Wijdenes	0	0	0
111	220	0	schout van Gouda	0	0	0
112	221	0	kapitein van Gouda	0	0	0
113	222	0	subsituut-schout van Gouda	0	0	0
114	223	0	schout van Westwoud	0	0	0
115	224	0	schout van Hof van Delft	0	0	0
116	225	0	schout van Vrijenban	0	0	0
117	226	0	onderhoutvester van Haarlemmerhout	0	0	0
118	227	0	schout van Schoonhoven	0	0	0
