	IDRegent	Geslachtsnaam	Tussenvoegsel	IDAdellijkeTitel	IDAcademischeTitel	Voornaam	Adel	Adelspredikaat	Heerlijkheid	Heerlijkheid2	Geboortejaar	OnbepaaldGeboortedatum	Overlijdensjaar	OnbepaaldOverlijdensdatum	Opmerkingen	Periode
0	1	Beukelaar		8.0	3.0	Thomas	1		Alblasserdam	Ottoland, 's-Heeraartsberg		0	1516.0	0	Tresorier van Dordrecht 1482-1483.	0
1	3	Ernesink		1.0	1.0	Frank	0					0		0		0
2	7	Esch	van	1.0	3.0	Klaas	0					0	1543.0	0	Persoonsgegevens: zoon van Jan van Essche.	0
3	18	Snouckaert		11.0	1.0	Jacob	1		Binckhorst		1527	0	1575.0	0	Overig: secretaris van Maximiliaan van Bourgondie.	0
4	19	Schouten		1.0	3.0	Willem Jansz.	0				1528	0	1604.0	0		0
5	20	Gramaye		1.0	1.0	Gijsbrecht	0					0		0		0
6	21	Meister		1.0	3.0	Maarten	0					0		0		0
7	22	Rataller		1.0	1.0	Louis	0					0		0		0
8	23	Pijl		1.0	1.0	Simon	0					0		0		0
9	25	Copier van Calslagen		1.0	1.0	Jacob	0					0		0		0
10	26	Hanneman		1.0	1.0	Jan	0					0	1573.0	0		0
11	27	Laan	van der	1.0	3.0	Klaas Mathijsz.	0				1510	1	1584.0	0	"Persoonsgegevens: Kok geeft 1575 als sterfjaar.
Overig: burgemeester van Haarlem. Tevens lid van de Landraad over Holland (of geldt dit voor naamgenoot Klaasz.?)"	0
12	31	Naarden	van	1.0	1.0	Cornelis Hermansz.	0					0		0		0
13	33	Doublet		1.0	1.0	Filips	0					0	1573.0	0	Commissie tot griffier van het Leenhof Holland in plaats van de voortvluchtige mr. Cornelis Oom van 11-11-1572 tot zijn overlijden op 8-5-1573.	0
14	35	Loo	van	1.0	1.0	Paul	0				1530	0	1596.0	0	Persoonsgegevens: broer van Albert en Dirk van Loo.	0
15	36	Teilingen	van	1.0	1.0	Pieter	0					0	1505.0	0	"Persoonsgegevens: zoon van Lucas van Teilingen.
."	0
16	39	Splinter		1.0	3.0	Jacob	0					0	1564.0	0		0
17	41	Teilingen	van	1.0	1.0	Lucas	0					0	1517.0	1	"Persoonsgegevens: Bos-Rops, Power of money, geeft 1509 als sterfjaar en S. ter Braak en Prevenier 1508.
Overig: deurwaarder van Rekenkamer 1460-1463, rekenmeester voor Margaretha van York 1492-1504"	0
18	43	Binkhorst	van	1.0	1.0	Lodewijk	0					0		0		0
19	45	Bye	de	1.0	1.0	Dirk Jorisz.	0					0	1591.0	0		0
20	48	Wallerand		1.0	1.0	Govert	0					0	1568.0	1		0
