	ID	Periode	IDRegent	IDFunctie	IDCollege	Begindag	Beginmaand	Beginjaar	Einddag	Eindmaand	Eindjaar	Vertegenwoordigend	provinciaal	Opmerkingen	stand	regio	lokaal
0	1372	2	2692	1	3.0	2.0	5.0	1814.0	24.0	8.0	1815.0	0	12.0				
1	1373	2	2693	1	3.0	2.0	5.0	1814.0	24.0	8.0	1815.0	0	12.0				
2	1374	2	2694	1	3.0	2.0	5.0	1814.0	24.0	8.0	1815.0	0	3.0				
3	1375	2	2695	1	3.0	2.0	5.0	1814.0	24.0	8.0	1815.0	0	12.0				
4	1376	2	2696	1	3.0	2.0	5.0	1814.0	23.0	10.0	1814.0	0	6.0				
5	1377	2	2697	1	3.0	14.0	6.0	1814.0	7.0	11.0	1814.0	0	6.0	Eind: ontslag.			
6	1378	2	2698	1	1.0	19.0	10.0	1847.0	13.0	2.0	1849.0	0					
7	1379	2	2699	1	1.0	16.0	11.0	1815.0	21.0	10.0	1821.0	0		Alberda van Ekenstein legde op 30 oktober 1815 de eed af.			
8	1380	2	2700	1	1.0	30.0	10.0	1824.0	12.0	6.0	1829.0	0					
9	1381	2	2701	1	1.0	26.0	9.0	1815.0	7.0	12.0	1823.0	0					
10	1382	2	2702	1	1.0	19.0	10.0	1824.0	20.0	10.0	1830.0	0					
11	1383	2	2703	1	1.0	27.0	9.0	1815.0	4.0	4.0	1836.0	0					
12	1384	2	2704	1	1.0	26.0	9.0	1815.0	29.0	12.0	1827.0	0					
13	1385	2	2705	1	1.0	26.0	9.0	1815.0	17.0	1.0	1825.0	0					
14	1386	2	2706	1	1.0	25.0	3.0	1823.0	20.0	10.0	1830.0	0					
15	1387	2	2707	1	1.0	20.0	10.0	1835.0	12.0	2.0	1849.0	0					
16	1388	2	2708	1	1.0	26.0	9.0	1815.0	18.0	9.0	1821.0	0					
17	1389	2	2709	1	1.0	26.0	9.0	1815.0	31.0	1.0	1816.0	0					
18	1390	2	2710	1	1.0	12.0	12.0	1815.0	28.0	12.0	1815.0	0		De eed werd voor Boers door H. van Stralen 'in naam en ziele' afgelegd op 12 december 1815.			
19	1391	2	2711	1	1.0	8.0	2.0	1816.0	24.0	10.0	1829.0	0					
20	1392	2	2712	1	1.0	26.0	9.0	1815.0	9.0	5.0	1818.0	0					
21	1393	2	2713	1	1.0	26.0	9.0	1815.0	27.0	9.0	1829.0	0					
22	1394	2	2714	1	1.0	26.0	9.0	1815.0	30.0	1.0	1830.0	0					
23	1395	2	2715	1	1.0	26.0	9.0	1815.0	10.0	10.0	1839.0	0					
24	1396	2	2716	1	1.0	20.0	10.0	1840.0	12.0	2.0	1849.0	0					
25	1397	2	2717	1	1.0	21.0	10.0	1828.0	20.0	10.0	1830.0	0					
26	1398	2	2718	1	1.0	11.0	11.0	1841.0	12.0	2.0	1849.0	0					
27	1399	2	2719	1	1.0	4.0	5.0	1819.0	20.0	10.0	1830.0	0					
28	1400	2	2720	1	1.0	14.0	12.0	1831.0	27.0	7.0	1841.0	0					
29	1401	2	2721	1	1.0	9.0	10.0	1848.0	12.0	2.0	1849.0	0					
30	1402	2	2722	1	1.0	16.0	7.0	1816.0	4.0	10.0	1831.0	0					
31	1403	2	2723	1	1.0	24.0	6.0	1816.0	2.0	5.0	1826.0	0					
32	1404	2	2724	1	1.0	22.0	10.0	1839.0	2.0	10.0	1848.0	0					
33	1405	2	2725	1	1.0	26.0	9.0	1815.0	4.0	5.0	1825.0	0					
34	1406	2	2726	1	1.0	24.0	10.0	1833.0	7.0	3.0	1847.0	0					
35	1407	2	2727	1	1.0	18.0	10.0	1825.0	6.0	5.0	1837.0	0					
36	1408	2	2728	1	1.0	20.0	10.0	1840.0	4.0	12.0	1841.0	0					
37	1409	2	2729	1	1.0	3.0	7.0	1821.0	23.0	5.0	1848.0	0					
38	1410	2	2730	1	1.0	27.0	12.0	1831.0	17.0	6.0	1833.0	0					
39	1411	2	2731	1	1.0	26.0	9.0	1815.0	24.0	12.0	1820.0	0					
40	1412	2	2732	1	1.0	25.0	8.0	1848.0	18.0	12.0	1848.0	0					
41	1413	2	2733	1	1.0	26.0	9.0	1815.0	24.0	3.0	1822.0	0					
42	1414	2	2734	1	1.0	30.0	10.0	1817.0	3.0	7.0	1820.0	0					
43	1415	2	2735	1	1.0	26.0	9.0	1815.0	20.0	10.0	1830.0	0		Voorzitter 1830.			
44	1416	2	2736	1	1.0	17.0	10.0	1826.0	24.0	3.0	1846.0	0		Voorzitter 1838-1845.			
45	1417	2	2737	1	1.0	18.0	10.0	1825.0	20.0	10.0	1830.0	0					
46	1418	2	2738	1	1.0	26.0	9.0	1815.0	10.0	7.0	1826.0	0					
47	1419	2	2739	1	1.0	21.0	10.0	1828.0	26.0	1.0	1830.0	0					
48	1420	2	2740	1	1.0	27.0	2.0	1818.0	4.0	2.0	1849.0	0					
49	1421	2	2741	1	1.0	27.0	10.0	1826.0	20.0	10.0	1830.0	0					
50	1422	2	2742	1	1.0	21.0	10.0	1842.0	12.0	2.0	1849.0	0					
51	1423	3	2743	1	1.0	26.0	9.0	1815.0	17.0	1.0	1826.0	0					
52	1424	2	2744	1	1.0	26.0	9.0	1815.0	8.0	9.0	1822.0	0					
53	1425	2	2745	1	1.0	8.0	2.0	1816.0	13.0	1.0	1831.0	0					
54	1426	3	2746	1	1.0	10.0	9.0	1848.0	13.0	2.0	1849.0	0					
55	1427	3	2747	1	1.0	14.0	12.0	1824.0	28.0	1.0	1844.0	0					
