	IDBron	Bron	Periode
0	1	Nederland's Adelsboek ('s-Gravenhage 1903-)	2
1	2	Nederland's Patriciaat. Genealogieën van vooraanstaande geslachten ('s-Gravenhage 1910-)	2
2	3	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln., Leiden 1911-1937)	2
3	4	Etat présent de la Noblesse du Royaume de Belgique (Brussel 1960-)	2
4	5	Annuaire de la Noblesse de Belgique. I. de Stein d'Altenstein (red.) (Brussel 1847-1945)	2
5	6	A.J. van der Aa, Biographisch woordenboek der Nederlanden (12 dln., Haarlem 1852-1878)	2
6	7	Biografisch Woordenboek van Nederland ('s-Gravenhage 1979-)	2
7	8	De Nederlandsche Leeuw ('s-Gravenhage 1883-)	2
8	9	Taxandria. Tijdschrift voor Noordbrabantsche Geschiedenis en Volkskunde (Bergen op Zoom 1894-1943)	2
9	10	De Wapenheraut ('s-Gravenhage 1897-1920)	2
10	11	Genealogische en Heraldische Bladen. E.B.F.F. Wittert van Hoogland (red.) (1906-1915)	2
11	12	De Navorscher (Amsterdam 1851-)	2
12	13	A.M. Elias en P.C.M. Schölvinck, met medewerking van H. Boels, Volksrepresentanten en wetgevers. De politieke elite in de Bataafs-Franse tijd 1796-1810 (Amsterdam 1991)	2
13	14	P. Brood e.a. ed., Homines novi. De eerste volksvertegenwoordigers van 1795 (Amsterdam 1993)	2
14	15	H. van Felius en H.J. Metselaars, Noordhollandse Statenleden 1840-1919 ('s-Gravenhage [z.jr.])	2
15	16	P. Hofland, Leden van de Raad. De Amsterdamse gemeenteraad 1814-1941 (Amsterdam 1998)	2
16	17	H.P. Fölting, De vroedschap van 's-Gravenhage 1572-1795 (Pijnacker 1985)	2
17	18	Heraldieke Bibliotheek. J.B. Rietstap (red.) ('s-Gravenhage 1872-1883)	2
18	19	R.S. Wegener Sleeswijk en L. Oldersma, Rechterlijk Friesland 1811-1999. Naamlijst leden rechterlijke macht, leden openbaar ministerie en griffiers (Hilversum 1999)	2
19	20	De Maasgouw. Limburgs tijdschrift voor Geschiedenis, Taal en Kunst (MAastricht 1879-)	2
20	21	Gens Nostra (Amsterdam 1945-)	2
21	23	Jaarboek Oudheidkundige Kring 'De Ghulden Roos' (Roosendaal 1941-)	2
22	24	Algemeen Nederlandsch Familieblad (1883-1905)	2
23	26	Verslagen omtrent 's rijks oude archieven ('s-Gravenhage 1866-1969)	2
24	27	J.C. Mollema, Geschiedenis van Nederland ter zee (4 dln.; Amsterdam 1939-1942)	2
25	28	Jaarboek van den Nederlandschen Adel ('s-Gravenhage 1888-1894)	2
26	29	Jaarboek Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947-)	2
27	30	H.A.M. Roelants, Gulden boek van Schiedam. Genealogieën en fragment-genealogieën van vroegere en hedendaagsche Schiedamsche geslachten (Amsterdam 1900)	2
28	31	Bijdragen en Mededeelingen Gelre, Vereeniging tot Beoefening van Geldersche Geschiedenis, Oudheidkunde en Recht (Arnhem 1898-)	2
29	32	G. Chr. Kok, In dienst van het recht. Uit de geschiedenis van het gerechtshof te 's-Gravenhage en de daaraan voorafgegane hoven (1428-heden) (Hilversum 2005)	2
30	33	P.J. van Koppen en J. ten Kate, De Hoge Raad in persoon. Benoemingen in de Hoge Raad der Nederlanden 1838-2002 (Deventer 2003)	2
