	alias	IDPersoon
0	Van der Capellen van Berkenwoude	3860
1	Repelaer van Driel	3867
2	Pélichy de Lichtervelde	3870
3	Van Ewijck van Oostbroek en De Bilt	3877
4	Von Müntz van Heuvelwijk	3904
5	Provó Kluit van Rijnsaterwoude	3945
6	Noiret de Bruyn van Melis- en Mariekerke	3965
7	Melort van Middelharnis (1840)	3968
8	Evertsz	3969
9	De Vos van Nederveen Cappel	3974
10	Van Hugenpoth tot den Beerenclaauw	4107
11	Rau van Gameren	4015
12	De Lange van Wijngaarden	4047
13	Van Panhuys van Haeren	4092
14	Ver Loren van Themaat	4130
15	Coenen van 's Gravesloot	4138
16	Van Rijckevorsel van Rijsenburg	4141
17	Van Oosthuyse van Rijckevorsel van Rijsenburg	4141
18	Van Doorn van Koudekerke	4145
19	Lambrechtsen van Ritthem	4148
20	Schorer van St. Philipsland	4150
21	Versluys van Krabbendijke en Nieuwlande	4151
22	De Bruyn van Melis- en Mariekerke	4161
23	De Jongh van Hedikhuizen	4137
24	Van Middachten van Vrieswijk en Oldhagensdorp	3014
25	De Vos van Steenwijk van den Oldenhof	3027
26	Strick van Linschoten van Bunnik en Vechten	3306
27	Van der Burgh van Kroonenburgh	3224
28	Von Schwartz van Ansen	4168
29	Van Hoey van Vlijmen	4171
30	Van Teylingen van Hilvarenbeek	4179
31	Van Heeckeren van Brandsenburg en Boelestein	3505
32	De Marees van Swinderen van Allersma	3199
33	Rietvelt van Herpt en Sprang	3141
34	Van Wickevoort Crommelin van Berkenrode	2727
35	Cuypers van Spangen	3466
36	Van Haersma van Nederhorst den Berg	3244
37	Van Berenbroeck	2849
38	François van Harencarspel Decker van Beverwijk	3043
39	Taets van Amerongen van Natewisch	2884
40	De Jonge van Ellemeet	2885
41	Van der Lek de Clercq van Stavenisse	2886
42	Paspoort van Grijpskerke	2887
43	Gevers van Endegeest	2890
44	't Hooft van Benthuizen	2893
45	Huughe van Peutevin	2904
46	Van Tets van Goudriaan	2908
47	Van Borssele van Wadenoyen	2913
48	Van Bylandt Halt	2917
49	Van der Capellen van Rijsselt	2918
50	Van Dedem van Vosbergen	2920
51	Engelen van Angerstein	2925
52	Van Heeckeren van de Wiersse	2931
53	Van Heeckeren van Nettelhorst	2932
54	Van Hövell tot Westerflier en Wezeveld	2933
55	Van Loë van Overdijck	2937
56	Van Lynden van Oldenaller en de Snor	2938
57	Mackay van Ophemert en Zennewijnen	2939
58	Van Nagell van Ampsen	2940
59	Van Pabst van Bingerden	2944
60	Van Pallandt van Keppel	2945
61	Van Rappard van Balgoy	2948
62	Van Rhemen van Rhemenshuizen	2950
63	Singendonck van Dieden	2954
64	Van Spaen van Schouwenburg	2955
65	Staring van den Wildenborch	2957
66	Van Westerholt van Hacfort	2965
67	Van Zuylen van Nievelt van den Schaffelaar	2966
68	Van der Haer van Campensnieuwland	2976
69	Bentinck van Schoonheten	2997
70	Bentinck van Schoonheten	2998
71	Van Dedem van de Rollecate	3000
72	Gansneb genaamd Tengnagel van de Luttenberg	3003
73	Van Haersolte tot den Doorn	3005
74	Van Isselmuden van Zwollingercamp	3009
75	Van Ittersum van Relaer	3010
76	Van Rechteren van de Hofstede	3019
77	Van Rechteren Limpurg van Rechteren	3020
78	Beelaerts van Emmichoven	3033
79	Bisdom van Vliet	3036
80	Van der Goes van Naters	3054
81	De Heere van Holy	3057
82	Niclas Kyronius	3064
83	Van Lockhorst van Toll en Venhuizen	3074
84	Van Poeliën van Nuland	3085
85	Reepmaker van Strevelshoek	3089
86	De Roo van Westmaas	3091
87	Six van Hillegom	3095
88	Van Boetzelaer van Kijfhoek	2692
89	Calkoen van Kortenhoef	2693
90	Van der Heyden van Baak	2694
91	Van Aerschot van Schoonhoven	2702
92	Van Aylva van Waardenburg en Neerijnen	2704
93	Van Boetzelaer van Dubbeldam	2711
94	Van Brienen van de Groote Lindt	2715
95	Van Brienen van de Groote Lindt	2716
96	De Goër de Forêt	2737
97	Van der Goes van Dirxland	2738
98	Van Heeckeren van Enghuizen	2745
99	Van Heeckeren van Enghuizen en Beverweerd	2746
100	Van Heerdt tot Eversberg	2747
101	De Hemricourt de Ramioul	2750
102	De Keverberg d'Aldengoor	2760
103	Van Leyden van Westbarendrecht	2764
104	Liedekerke de Beaufort prins de Gavre	2765
105	De Liedel de Well	2766
106	Van Limburg Stirum Noordwijk	2769
107	Van Lynden van Hemmen	2773
108	Van Lynden van Lunenburg	2774
109	Van Nes van Meerkerk	2783
110	De Néverlée de la Fortelle	2784
111	Van Pallandt van Eerde	2790
112	Van Pallandt van Beerse	2791
113	De Pesters van Cattenbroek	2792
114	Schimmelpenninck van Nijenhuis	2803
115	Schimmelpenninck van der Oye van den Poll	2804
116	Sloet van Warmelo	2806
117	Van Spaen van Biljoen	2807
118	Van Spaen la Lecq van Hardenstein	2808
119	Steengracht van Oosterland	2810
120	De Stockhem de Heers	2811
121	Van Swinderen van Rensuma	2813
122	Van Tuyll van Serooskerken van Zuylen	2820
123	Vaernewijck d'Angest	2821
124	Fontein Verschuir van Heiloo, Oesdom en ter Coulster	2823
125	De Vinck de Wesel	2824
126	De Vos van Steenwijk van den Hogenhof	2825
127	Van Wassenaer van Starrenburg	2828
128	Van Weede van Dijkveld	2829
129	Van Pallandt van Waardenburg en Neerijnen	2836
130	Van Rhemen van Rhemenshuizen	2840
131	Van Goltstein van Oldenaller	2842
132	Sichterman van de Brake	2847
133	Boreel van Hogelanden	2874
134	Van Heeckeren van Wassenaer	2876
135	Soetens van Royen	2877
136	De Vos van Steenwijk van Voorstonden	2878
137	Martens van Sevenhoven	2880
138	Huydecoper van Maarsseveen	2883
139	Van der Staal van Piershil	3097
140	Van der Werff van Zuidland	3106
141	Wittert van Bloemendaal	3108
142	Van Zuylen van Nijevelt van de Ehze	3109
143	Van Hogendorp van Hofwegen	3128
144	Jantzon van Nieuwland	3133
145	De Jonge van Helvoirt	3135
146	Nahuys van Burgst	3138
147	De Grancy van Haanwijck	3145
148	De Smeth van Deurne	3146
149	Trip van Zoudtlandt	3150
150	De Voocht van het Hof te Tongelre	3154
151	Van Weichs van Winnen van Geysteren	3156
152	De Jonge van Campensnieuwland	3166
153	De Jonge van Ellemeet	3167
154	Mogge Muilman van Haamstede	3169
155	D'Aulnis de Bourouill van Bijma	3176
156	Polman Gruys van Garreweer	3180
157	Van Holthe van Echten	3182
158	Van In- en Kniphuizen van de Nienoord	3185
159	Wijchgel van Lellens	3206
160	Berg van Dussen-Muilkerk	3212
161	Hoeufft van Velsen	3254
162	Hovy van Spanderswoud	3259
163	Huydecoper van Maarsseveen	3260
164	Van Nellesteyn van Broekhuizen	3280
165	Nutges van Bennebroek	3283
166	Van Reede van Middachten	3292
167	Rendorp van Marquette	3293
168	Van Renesse van Wilp	3294
169	Six van Oterleek	3298
170	Taets van Amerongen van Woudenberg	3310
171	Van Bredehoff de Vicq van Oosthuizen	3313
172	Van Heiden Reinestein tot Laarwoud	3322
173	Van Heeckeren van Kell	3350
174	Van Lynden van Hoevelaken	3351
175	Van Nagell tot Ampsen	3356
