	IDlokaal	lokaal	volgnummer
0	1	Alkmaar	0
1	2	Almelo	0
2	3	Amsterdam	0
3	4	Amersfoort	0
4	5	Appingedam	0
5	6	Arnhem	0
6	7	Assen	0
7	8	Bergen op Zoom	0
8	9	Boxmeer	0
9	10	Breda	0
10	11	Brielle	0
11	12	Delft	0
12	13	's-Hertogenbosch	0
13	14	's-Gravenhage	0
14	15	Deventer	0
15	16	Doetinchem	0
16	17	Dokkum	0
17	18	Dordrecht	0
18	19	Edam	0
19	20	Eindhoven	0
20	21	Elst	0
21	22	Enschede	0
22	23	Franeker	0
23	24	Goes	0
24	25	Gorinchem	0
25	26	Gouda	0
26	27	Grave	0
27	28	Groningen	0
28	29	Haarlem	0
29	30	Harderwijk	0
30	31	Heerenveen	0
31	32	Heerlen	0
32	33	Helmond	0
33	34	Heusden	0
34	35	Hoogeveen	0
35	36	Hoorn	0
36	37	IJsselstein	0
37	38	Kampen	0
38	39	Leeuwarden	0
39	40	Leiden	0
40	41	Leiderdorp	0
41	42	Maastricht	0
42	43	Middelburg	0
43	44	Nijmegen	0
44	45	Onderdendam	0
45	46	Ridderkerk	0
46	47	Roermond	0
47	48	Rotterdam	0
48	49	Ruurlo	0
49	50	Schiedam	0
50	51	Sittard	0
51	52	Sluis	0
52	53	Sneek	0
53	54	Steenwijk	0
54	55	Tiel	0
55	56	Tilburg	0
56	57	Utrecht	0
57	58	Venlo	0
58	59	Winschoten	0
59	60	Zaandam	0
60	61	Zaltbommel	0
61	62	Zevenbergen	0
62	63	Zierikzee	0
63	64	Zuidhorn	0
64	65	Zutphen	0
65	66	Zwolle	0
66	67	Coevorden	0
67	68	Meppel	0
68	69	Zweeloo	0
69	70	Ruinen	0
70	71	Havelte	0
71	72	Vries	0
72	73	Gasselte	0
73	74	Zuidbroek	0
74	75	Hoogezand	0
75	76	Oude Pekela	0
76	77	Amerongen	0
77	78	Zeist	0
78	79	Maarsen	0
79	80	Abcoude	0
80	81	Harmelen	0
81	82	Baarn	0
82	83	Montfoort	0
83	84	Rhenen	0
84	85	Wijk bij Duurstede	0
85	86	Breukelen	0
86	87	Delden	0
87	88	Ommen	0
88	89	Raalte	0
89	90	Hasselt	0
90	91	Dalfsen	0
91	92	Markelo	0
92	93	Oldenzaal	0
93	94	Zwartsluis	0
94	95	Ravenstein/Oss	0
95	96	St. Oedenrode	0
96	97	Oirschot/Boxtel	0
97	98	Hilvarenbeek	0
