,academischetitel_id,academischetitel,old_idacademischetitel
0,0,Bac.,['me_6']
1,1,Dr.,['me_2']
2,2,Lic.,['me_5']
3,3,Mr.,['me_3']
4,4,dr.,"['batfra_3', 'negentiende_eeuw_3', 'divperioden_3', 'republiek_3', 'republiek_friezen_3']"
5,5,ds.,"['batfra_9', 'negentiende_eeuw_8']"
6,6,lic.,"['batfra_5', 'negentiende_eeuw_10']"
7,7,mr.,"['batfra_4', 'negentiende_eeuw_2', 'divperioden_4', 'republiek_4', 'republiek_friezen_4']"
8,8,mr.dr.,"['batfra_6', 'negentiende_eeuw_4', 'republiek_6']"
9,9,prof.dr.,"['batfra_7', 'negentiende_eeuw_5']"
10,10,prof.dr.mr.,['negentiende_eeuw_7']
11,11,prof.ds.,"['batfra_10', 'negentiende_eeuw_9']"
12,12,prof.mr.,"['batfra_8', 'negentiende_eeuw_6']"
