,adellijketitel_id,adellijketitel,old_idadellijketitel
0,0,baron,"['batfra_3', 'negentiende_eeuw_9', 'me_2', 'divperioden_3', 'republiek_3', 'republiek_friezen_3']"
1,1,baron (Empire),['batfra_10']
2,2,burggraaf,"['negentiende_eeuw_8', 'me_7', 'republiek_10']"
3,3,comte (Empire),"['batfra_9', 'negentiende_eeuw_11']"
4,4,comte (d'Empire),['republiek_9']
5,5,duc (Empire),['batfra_11']
6,6,graaf,"['batfra_4', 'negentiende_eeuw_7', 'me_3', 'divperioden_4', 'republiek_4', 'republiek_friezen_4']"
7,7,heer,['me_11']
8,8,hertog,"['negentiende_eeuw_5', 'me_4', 'republiek_12']"
9,9,jonkheer,['me_12']
10,10,knaap,['me_8']
11,11,markgraaf,['me_9']
12,12,markies,"['negentiende_eeuw_6', 'me_5', 'republiek_14']"
13,13,prince (Empire),['batfra_12']
14,14,prins,"['negentiende_eeuw_4', 'me_10', 'republiek_13']"
15,15,ridder,"['batfra_5', 'negentiende_eeuw_10', 'me_6', 'divperioden_5', 'republiek_5', 'republiek_friezen_5']"
