,college_id,college,old_idcollege
0,0,Staatssecretarie (Ministerie van de Secretarie van Staat),batfra_1
1,1,Koninklijke Secretarie,batfra_2
2,2,Ministerie van Binnenlandse Zaken (1),batfra_3
3,3,Ministerie van Financiën,batfra_4
4,4,Ministerie van Justitie en Politie,batfra_5
5,5,Ministerie van Oorlog,batfra_6
6,6,Staatsraad (Koninkrijk),batfra_7
7,7,Ministerie van Openbare Eredienst,batfra_8
8,8,Ministerie van de Waterstaat,batfra_9
9,9,Ministerie van Eredienst en Binnenlandse Zaken,batfra_10
10,10,Ministerie van Buitenlandse Zaken,batfra_11
11,11,Ministerie van Koophandel en Koloniën,batfra_12
12,12,Ministerie van Marine en Koloniën,batfra_13
13,13,Ministerie van Marine,batfra_14
14,14,Directoraat-Generaal van Openbaar Onderwijs en Wetenschappen,batfra_15
15,15,Directoraat-Generaal van Schone Kunsten,batfra_16
16,16,Directoraat-Generaal van Wetenschappen en Kunsten,batfra_17
17,17,Directoraat-Generaal van de Publieke Schatkist,batfra_18
18,18,Directoraat-Generaal van de Publieke Schuld (en Pensioenen),batfra_20
19,19,Kabinet van de Koning van Holland,batfra_21
20,20,Koninklijke Staatsdrukkerij,batfra_22
21,21,Raad van Judicature over de Middelen te Water en te Lande (Raadpensionaris),batfra_23
22,22,Hoge Militaire Vierschaar (2),batfra_24
23,23,Directoraat-Generaal van de Waterstaat,batfra_25
24,24,Conseil d' Etat,batfra_29
25,25,Ministère de l' Intérieur,batfra_30
26,26,Ministère des Relations Extérieures,batfra_31
27,27,Ministère de la Guerre,batfra_32
28,28,Ministère de la Marine et des Colonies,batfra_33
29,29,Ministère de la Justice,batfra_34
30,30,Ministère des Finances,batfra_35
31,31,Ministère de la Police Générale,batfra_36
32,32,Ministère du Trésor Impérial,batfra_37
33,33,Ministère de l' Administration de la Guerre,batfra_38
34,34,Ministère des Cultes,batfra_39
35,35,Ministère des Manufactures et du Commerce,batfra_40
36,36,Corps Législatif,batfra_41
37,37,Sénat Conservateur,batfra_42
38,38,Secrétairerie d' État Impériale,batfra_43
39,39,"Direction-Générale des Ponts et Chaussées, Navigation intérieure, Ports de Commerce, Phares et Fanaux, et Lignes Télégraphiques.",batfra_44
40,40,Direction-Générale des Forêts,batfra_45
41,41,Direction-Générale des Mines,batfra_46
42,42,Cour des Comptes,batfra_48
43,43,Bureau Statistique de l' Empire,batfra_49
44,44,Direction-Générale de l' Enregistrement et des Domaines,batfra_51
45,45,Direction-Générale de la Police en Hollande,batfra_53
46,46,Gendarmerie Impériale,batfra_54
47,47,Cour de Cassation,batfra_55
48,48,Conseil Général de Commerce,batfra_59
49,49,Direction-Générale des Postes,batfra_61
50,50,Légion d' Honneur,batfra_62
51,51,Université Impériale,batfra_63
52,52,Lieutenant-Général de l' Empereur en Hollande,batfra_64
53,53,"Gouvernement-Général des Départements de la Hollande (Algemene Stedehouder, Prins Stedehouder)",batfra_65
54,54,Secretarie van het Gouvernement van Holland,batfra_66
55,55,"Koning van Holland, Lodewijk Napoleon",batfra_67
56,56,"Koningin van Holland, Hortensia Eugenia",batfra_68
57,57,"Keizer van Frankrijk, Napoleon",batfra_69
58,58,Intendance Générale des Finances (et du Trésor Public) en Hollande,batfra_70
59,59,Commissie vervangende het Hof van Rekeningen,batfra_71
60,60,Intendance de l' Intérieur en Hollande,batfra_72
61,61,Direction de la Caisse Centrale à Amsterdam,batfra_73
62,62,Essayeur-Generaal van de Munt,batfra_74
63,63,Staatsbewind der Bataafse Republiek,batfra_77
64,64,"Wetgevend Lichaam, Vergadering van Hun Hoog Mogenden vertegenwoordigende het Bataafs Gemenebest (Raadpensionaris)",batfra_78
65,65,Raad van Binnenlandse Zaken,batfra_79
66,66,Wetgevend Lichaam van het Bataafse Gemenebest (1801-1805),batfra_80
67,67,Raad van de Amerikaanse Bezittingen en Etablissementen,batfra_81
68,68,Raadpensionaris,batfra_82
69,69,Cour Impériale en Hollande,batfra_83
70,70,Conseil Général des Ponts et Chaussées,batfra_88
71,71,Direction-Générale de l' Imprimerie et de la Librairie,batfra_89
72,72,Imprimerie Impériale,batfra_97
73,73,"Eerste Nationale Vergadering, representerende het volk van Nederland",batfra_98
74,74,Constituerende Vergadering representerende het Bataafse Volk,batfra_99
75,75,Intermediair Wetgevend Lichaam van het Bataafse Volk,batfra_103
76,76,Uitvoerend Bewind (Constitutioneel) van de Bataafse Republiek,batfra_104
77,77,Agentschap van Justitie,batfra_112
78,78,Nationaal Gerechtshof,batfra_113
79,79,Nationaal Syndicaat,batfra_114
80,80,Hoog Nationaal Gerechtshof,batfra_115
81,81,Agentschap van Inwendige Politie en Waterstaat,batfra_116
82,82,Commissie van Superintendentie der Rivieren,batfra_117
83,83,Commissie van Superintendentie van Zeehavens en Zeegaten,batfra_118
84,84,Commissie van Superintendentie over de Waterstaat der Bataafse Republiek,batfra_119
85,85,Comité-Centraal van de Waterstaat,batfra_120
86,86,Agentschap van Nationale Opvoeding,batfra_123
87,87,Agentschap van Nationale Oeconomie,batfra_124
88,88,Secretaris van Staat voor de Binnenlandse Zaken,batfra_125
89,89,Agentschap van Financiën,batfra_127
90,90,Thesaurier-Generaal en Raden van Financiën,batfra_128
91,91,Secretaris van Staat voor de Financiën,batfra_129
92,92,Raad van Financiën,batfra_130
93,93,Syndicat de Hollande,batfra_131
94,94,Agentschap van Buitenlandse Betrekkingen,batfra_133
95,95,Secretaris van Staat voor de Buitenlandse Betrekkingen,batfra_134
96,96,Comité tot de Algemene Zaken van het Bondgenootschap te Lande,batfra_136
97,97,Agentschap van Oorlog,batfra_137
98,98,Raad van Oorlog,batfra_138
99,99,"Secretaris van Staat, Departement van Oorlog",batfra_139
100,100,Directoraat-Generaal voor de Zaken van Oorlog,batfra_140
101,101,Commissariaat der Franse troepen in soldij der Bataafse Republiek,batfra_142
102,102,Commissaris-Liquidateur van de Pretentiën van Gepreste Schippers,batfra_143
103,103,Depot-Generaal van Oorlog,batfra_144
104,104,Directie van de Landelijke Telegrafische Beseiningen,batfra_146
105,105,Comité tot de Zaken van de Marine,batfra_147
106,106,Agentschap van Marine,batfra_148
107,107,Raad van Marine,batfra_149
108,108,Ministerie van Binnenlandse Zaken (2),batfra_150
109,109,Comité tot de Oost-Indische Handel en Bezittingen,batfra_151
110,110,Comité tot de Zaken van de Koloniën en Bezittingen op de kust van Guinea en in Amerika,batfra_153
111,111,Préfet du Département des Bouches-du-Rhin,batfra_155
112,112,Préfet du Département des Bouches-de-l' Escaut,batfra_156
113,113,Préfet du Département des Bouches-de-la-Meuse (Monden van de Maas),batfra_157
114,114,Préfet du Département des Bouches-de-l' Yssel (Monden van de IJssel),batfra_158
115,115,Préfet du Département de l' Ems-Occidental (Westereems),batfra_159
116,116,Préfet du Département de la Frise,batfra_160
117,117,Préfet du Département de l' Issel-Supérieur (Boven IJssel),batfra_161
118,118,Préfet du Département du Zuyderzee,batfra_162
119,119,Conseil des Poids et Mesures,batfra_164
120,120,Archives de l' Empire,batfra_167
121,121,Dépot Général de la Guerre,batfra_171
122,122,Direction-Générale des Revues et de la Conscription Militaire,batfra_172
123,123,Administration Générale des Poudres et Salpêtres,batfra_173
124,124,Conseil Impérial des Prises,batfra_174
125,125,Direction-Générale de la Comptabilité des Communes et des Hospices,batfra_175
126,126,Direction-Générale des Douanes,batfra_176
127,127,Direction-Générale de la Caisse d' Amortissement,batfra_177
128,128,Direction-Générale des Droits Réunis,batfra_178
129,129,Direction-Générale des Vivres,batfra_179
130,130,Conseil de Liquidation à Amsterdam,batfra_180
131,131,Préfet du Département de l' Ems-Oriental,batfra_181
132,132,Conseil d' Administration des Postes-Relais,batfra_182
133,133,Raad van Judicature voor de Middelen te Water en te Lande in Holland,batfra_183
134,134,Provisionele Raad van Regentschap van het Koninkrijk Holland,batfra_186
135,135,Commissie voor de Zaken van Holland (Conseil pour les Affaires de Hollande),batfra_187
136,136,Hoog Keizerlijk Gerechtshof in Holland,batfra_188
137,137,Direction du Grand Livre de la Dette Public en Hollande,batfra_190
138,138,Direction Principale des Douanes en Hollande à Amsterdam,batfra_192
139,139,"Maître des Requêtes chargé de l' Administration des Polders, Digues et Routes",batfra_193
140,140,Direction Principale des Postes en Hollande à Amsterdam,batfra_194
141,141,Ordre Impérial de la Réunion,batfra_195
142,142,Generaliteitsmuntkamer,batfra_197
143,143,Commissarissen van de Nationale Rekening,batfra_198
144,144,Nationale Rekenkamer (1),batfra_199
145,145,Hof van Rekeningen van het Koninkrijk Holland,batfra_200
146,146,Zeeraad,batfra_202
147,147,Administration des Monnaies,batfra_203
148,148,Banque de France,batfra_205
149,149,Société Maternelle,batfra_207
150,150,Tweede Nationale Vergadering,batfra_208
151,151,Vertegenwoordigend Lichaam (1) (mei 1798-juni 1798),batfra_209
152,152,Vertegenwoordigend Lichaam (2) (juli 1798-oktober 1801),batfra_210
153,153,Directie van de Levantse Handel,batfra_212
154,154,Staatsdrukkerij,batfra_213
155,155,Hoge Zeekrijgsraad (tot oktober 1799),batfra_216
156,156,Raad van de Amerikaanse Koloniën en Bezittingen,batfra_217
157,157,Secretarie van het Staatsbewind,batfra_218
158,158,Landsdrukkerij,batfra_219
159,159,Commissie van 's Lands Advocaten,batfra_222
160,160,Commissarissen der Bataafse Posterijen,batfra_223
161,161,Commissaris tot de Gecedeerde Landen aan de Bataafse Republiek,batfra_226
162,162,Algemene Secretarie van Staat,batfra_229
163,163,Secretaris van Staat Departement van Buitenlandse Zaken,batfra_230
164,164,Secretaris van Staat voor de Zaken van Oorlog,batfra_231
165,165,Secretaris van Staat voor de Zaken der Marine,batfra_232
166,166,Staatsraad (Raadpensionaris),batfra_233
167,167,Intermediair Uitvoerend Bewind,batfra_234
168,168,Directoraat-Generaal van Justitie en Politie,batfra_236
169,169,"Directoraat-Generaal voor de Zaken van de Indiën, de Koophandel en Koloniën",batfra_237
170,170,Directoraat-Generaal van de Posterijen,batfra_239
171,171,Raad van Judicature over de Middelen te Water en te Lande (Koninkrijk 1),batfra_241
172,172,"Wetgevend Lichaam, Vergadering van Hun Hoog Mogenden (Koninkrijk)",batfra_243
173,173,Betaalmeester van de Armée (van Oorlog),batfra_244
174,174,Directeur van de Administratie van Oorlog,batfra_245
175,175,Koninklijke Orde van de Unie,batfra_246
176,176,Koninklijke Orde van Verdiensten,batfra_247
177,177,Algemene Administratie van de Waterstaat,batfra_248
178,178,Administrateurs der Posterijen,batfra_250
179,179,Opperjagermeester,batfra_251
180,180,Raad van Judicature over de Middelen te Water en te Lande (Koninkrijk 2),batfra_252
181,181,Algemeen Bestuur van Weldadigheid,batfra_253
182,182,Hoog Heraldiek College,batfra_254
183,183,Hoge Militaire Vierschaar in Holland,batfra_255
184,184,Napoleon Louis Koning van Holland,batfra_256
185,185,Mortificatiefonds,batfra_259
186,186,Amortisatiekas (Mortificatiekas),batfra_260
187,187,Ontvanger-Generaal van de Marine,batfra_262
188,188,Commissarissen der Nationale Beleenbank,batfra_263
189,189,"Uitvoerend Bewind der Bataafse Republiek (tot 17 maart 1798 Provisioneel, vanaf 12 juni 1798 Intermediair)",batfra_265
190,190,Gouverneur-Generaal van Indië,batfra_268
191,191,Administrateurs de la Loterie Impériale de France,batfra_269
192,192,Landdrost en Assessoren van Friesland (1807-1810),batfra_270
193,193,Landdrost en Assessoren van Overijssel (1807-1810),batfra_272
194,194,Landdrost en Assessoren van Oost-Friesland (1808-1810),batfra_275
195,195,Landdrost en Assessoren van Brabant (1807-1810),batfra_278
196,196,Hof van Friesland (1499-1811),batfra_279
197,197,Departementaal Gerechtshof van Friesland (1802-1811),batfra_280
198,198,Representanten van het volk van Friesland,batfra_281
199,199,Departementaal Bestuur van Friesland (1805-1807),batfra_287
200,200,Departementaal Gerechtshof van Groningen (1802-1811),batfra_288
201,201,Departementaal Bestuur van Overijssel (1802-1805),batfra_289
202,202,Departementaal Bestuur van de Delf,batfra_290
203,203,Departementaal Bestuur van Holland (1802-1805),batfra_291
204,204,Departementaal Bestuur van de Rijn,batfra_295
205,205,Departementaal Bestuur van Utrecht (1802-1805),batfra_296
206,206,Departementaal Bestuur van Gelderland (1802-1805),batfra_298
207,207,Departementaal Bestuur van Zeeland (1802-1805),batfra_299
208,208,Departementaal Bestuur van Brabant (1802-1805),batfra_300
209,209,Hof van Justitie van Gelderland (1795-1802),batfra_301
210,210,Departementaal Gerechtshof van Gelderland (1802-1811),batfra_302
211,211,Departementaal Bestuur van de Amstel,batfra_303
212,212,Departementaal Bestuur van de Eems,batfra_304
