,index,id,periode,idregent,idfunctie,idcollege,begindag,beginmaand,beginjaar,einddag,eindmaand,eindjaar,vertegenwoordigend
0,0,1,1,22,1,10,xx,xx,1722,30,04,1752,0
1,1,2,1,22,1,12,01,05,1752,16,11,1766,0
2,2,3,1,23,1,8,01,05,1764,30,04,1766,0
3,3,4,1,23,1,12,01,05,1752,30,04,1754,0
4,4,5,1,24,22,10,14,06,1724,30,04,1752,0
5,5,6,1,24,22,12,01,05,1752,04,04,1754,0
6,6,7,1,24,22,14,05,09,1718,00,00,1724,0
7,7,8,1,25,1,8,01,05,1747,30,04,1749,0
8,8,9,1,25,1,12,01,05,1752,30,04,1755,0
9,9,10,1,25,8,30,xx,xx,1739,xx,xx,1740,0
10,10,11,1,26,1,8,01,05,1762,00,00,1763,0
11,11,12,1,26,1,8,01,05,1766,00,00,1769,0
12,12,13,1,26,1,12,00,00,1779,00,00,1781,0
13,13,14,1,26,1,35,xx,xx,1776,xx,xx,1777,0
14,14,15,1,27,1,12,01,05,1755,16,06,1756,0
15,15,16,1,28,1,12,00,00,1788,00,00,1791,0
16,16,17,1,28,1,12,00,00,1794,28,01,1795,0
17,17,18,1,28,1,32,xx,xx,1785,xx,xx,1788,0
18,18,19,1,29,1,12,01,05,1761,04,02,1763,0
19,19,20,1,29,1,12,14,07,1756,30,04,1758,0
20,20,21,1,29,1,32,xx,xx,1758,xx,xx,1760,0
21,21,22,1,29,9,44,xx,xx,1753,04,02,1763,0
22,22,23,1,30,1,12,24,02,1763,00,00,1764,0
23,23,24,1,30,1,35,xx,xx,1770,xx,xx,1780,0
24,24,25,1,30,1,36,xx,xx,1784,xx,xx,xxxx,0
25,25,26,1,31,1,8,01,05,1783,30,04,1786,0
26,26,27,1,31,1,12,00,00,1769,00,00,1772,0
27,27,28,1,31,1,34,20,02,1787,23,03,1789,0
28,28,29,1,32,1,8,01,05,1789,30,04,1792,0
29,29,30,1,32,1,12,00,00,1776,00,00,1779,0
30,30,31,1,32,1,12,00,00,1782,00,00,1785,0
31,31,32,1,33,1,12,00,00,1766,28,01,1795,0
32,32,33,1,33,5,14,27,01,1758,00,00,1766,0
33,33,34,1,34,1,8,01,05,1757,00,00,1758,0
34,34,35,1,34,1,31,xx,xx,1752,xx,xx,1755,0
35,35,36,1,34,9,46,xx,xx,1743,xx,xx,1779,0
36,36,37,1,34,22,12,00,00,1758,07,11,1790,0
37,37,38,1,35,1,12,00,00,1794,28,01,1795,0
38,38,39,1,35,9,46,xx,xx,1780,xx,xx,1795,0
39,39,40,1,36,1,12,00,00,1787,00,00,1790,0
40,40,41,1,37,1,8,01,05,1781,00,00,1784,0
41,41,42,1,37,1,12,00,00,1773,00,00,1776,0
42,42,43,1,38,1,8,01,05,1758,00,00,1760,0
43,43,44,1,38,1,12,00,00,1761,00,00,1762,0
44,44,45,1,38,8,30,xx,xx,1745,xx,xx,1748,0
45,45,46,1,38,8,30,xx,xx,1754,xx,xx,1756,0
46,46,47,1,39,1,12,00,00,1762,00,00,1764,0
47,47,48,1,39,1,33,xx,xx,1787,xx,xx,1791,0
48,48,49,1,40,1,12,00,00,1754,00,00,1757,0
49,49,50,1,41,1,12,00,00,1767,00,00,1770,0
50,50,51,1,42,1,8,01,05,1775,00,00,1778,0
51,51,52,1,42,1,12,00,00,1781,00,00,1782,0
52,52,53,1,43,1,8,01,05,1765,30,04,1768,0
53,53,54,1,43,1,12,00,00,1758,00,00,1761,0
54,54,55,1,44,1,12,00,00,1766,00,00,1769,0
55,55,56,1,45,1,12,00,00,1773,00,00,1776,0
56,56,57,1,46,1,12,00,00,1779,00,00,1782,0
57,57,58,1,47,1,12,00,00,1785,00,00,1787,0
58,58,59,1,48,1,12,00,00,1787,30,04,1788,0
59,59,60,1,48,8,30,xx,xx,1793,xx,01,1795,0
60,60,61,1,49,1,8,00,00,1787,00,00,1788,0
61,61,62,1,49,1,8,01,05,1780,30,04,1783,0
62,62,63,1,49,1,8,01,05,1786,00,00,1787,0
63,63,64,1,49,1,12,01,05,1791,30,04,1794,0
64,64,65,1,49,1,31,02,05,1788,xx,xx,1791,0
65,65,66,1,49,8,30,xx,xx,1767,xx,xx,1769,0
66,66,67,1,51,1,8,01,05,1742,30,04,1744,0
67,67,68,1,51,1,8,01,05,1748,30,04,1750,0
68,68,69,1,51,1,8,01,05,1766,30,04,1768,0
69,69,70,1,51,1,12,00,00,1755,00,00,1758,0
70,70,71,1,51,1,33,xx,xx,1768,xx,xx,1769,0
71,71,72,1,52,1,8,01,05,1770,30,04,1772,0
72,72,73,1,52,1,8,01,05,1776,30,04,1778,0
73,73,74,1,52,1,8,01,05,1782,30,04,1784,0
74,74,75,1,52,1,8,01,05,1788,30,04,1790,0
75,75,76,1,52,1,8,01,05,1794,28,01,1795,0
76,76,77,1,52,1,12,00,00,1764,00,00,1767,0
77,77,78,1,53,22,12,00,00,1779,28,01,1795,0
78,78,79,1,54,1,8,01,05,1772,30,04,1774,0
79,79,80,1,54,1,12,00,00,1767,00,00,1770,0
80,80,81,1,54,1,33,xx,xx,1784,xx,xx,1790,0
81,81,82,1,55,1,12,01,05,1752,30,04,1755,0
82,82,83,1,55,1,12,01,05,1761,30,04,1764,0
83,83,84,1,55,1,12,01,05,1767,00,00,1770,0
84,84,85,1,55,9,43,xx,xx,xxxx,xx,xx,xxxx,0
85,85,86,1,56,1,8,01,05,1765,00,00,1768,0
86,86,87,1,56,1,12,00,00,1770,00,00,1773,0
87,87,88,1,56,1,12,00,00,1778,00,00,1781,0
88,88,89,1,56,1,34,xx,xx,1773,xx,xx,1776,0
89,89,90,1,56,8,30,xx,xx,1757,xx,xx,1760,0
90,90,91,1,56,9,38,xx,xx,1781,xx,xx,1787,0
91,91,92,1,57,1,12,00,00,1775,00,00,1778,0
92,92,93,1,58,1,8,26,11,1781,00,00,1783,0
93,93,94,1,58,1,12,01,05,1752,30,04,1755,0
94,94,95,1,58,1,34,xx,xx,1770,xx,xx,1773,0
95,95,96,1,59,1,8,21,02,1788,30,04,1789,0
96,96,97,1,59,1,12,00,00,1791,00,00,1794,0
97,97,98,1,60,1,8,01,05,1744,30,04,1746,0
98,98,99,1,60,1,12,01,05,1755,30,04,1758,0
99,99,100,1,61,22,10,xx,xx,1702,30,04,1752,0
100,100,101,1,61,22,12,01,05,1752,00,00,1754,0
101,101,102,1,62,1,8,01,05,1760,30,04,1766,0
102,102,103,1,62,1,12,00,00,1767,00,00,1770,0
103,103,104,1,63,1,8,01,05,1764,00,00,1767,0
104,104,105,1,63,1,12,01,05,1758,30,04,1761,0
105,105,106,1,63,1,33,xx,xx,1768,xx,xx,1771,0
106,106,107,1,63,8,30,xx,xx,1781,xx,xx,1784,0
107,107,108,1,63,9,46,xx,xx,1740,xx,xx,xxxx,0
108,108,109,1,64,1,8,01,05,1768,00,00,1771,0
109,109,110,1,64,1,12,01,05,1764,30,04,1767,0
110,110,111,1,64,9,38,xx,xx,1772,xx,xx,1775,0
111,111,112,1,66,1,8,01,05,1763,30,04,1766,0
112,112,113,1,66,1,12,00,00,1757,00,00,1760,0
113,113,114,1,67,1,8,01,05,1768,30,04,1770,0
114,114,115,1,67,1,8,01,05,1774,30,04,1776,0
115,115,116,1,67,1,12,00,00,1776,00,00,1779,0
116,116,117,1,68,1,12,00,00,1769,00,00,1770,0
117,117,118,1,68,1,12,00,00,1773,00,00,1776,0
118,118,119,1,68,1,32,xx,xx,1784,xx,xx,1787,0
119,119,120,1,68,8,30,xx,xx,1778,xx,xx,1781,0
120,120,121,1,68,8,30,xx,xx,1787,xx,xx,1788,0
121,121,122,1,68,9,42,xx,xx,1779,xx,xx,xxxx,0
122,122,123,1,69,1,8,01,05,1778,30,04,1780,0
123,123,124,1,69,1,12,00,00,1782,00,00,1785,0
124,124,125,1,70,1,8,01,05,1779,00,00,1782,0
125,125,126,1,70,1,12,00,00,1785,00,00,1788,0
126,126,127,1,70,1,33,xx,xx,1775,xx,xx,1777,0
127,127,128,1,70,9,40,xx,xx,1776,xx,xx,1788,0
128,128,129,1,71,1,8,01,05,1787,30,04,1790,0
129,129,130,1,71,1,12,00,00,1790,00,00,1793,0
130,130,131,1,72,1,12,00,00,1788,00,00,1791,0
131,131,132,1,73,1,12,00,00,1758,00,00,1761,0
132,132,133,1,73,1,12,00,00,1785,00,00,1787,0
133,133,134,1,74,1,12,00,00,1776,00,00,1779,0
134,134,135,1,74,1,12,00,00,1791,00,00,1794,0
135,135,136,1,75,1,8,01,05,1749,30,04,1751,0
136,136,137,1,75,1,12,00,00,1773,00,00,1776,0
137,137,138,1,76,1,8,01,05,1775,30,04,1781,0
138,138,139,1,76,1,12,00,00,1755,00,00,1758,0
139,139,140,1,76,1,12,00,00,1761,00,00,1764,0
140,140,141,1,76,1,12,00,00,1781,00,00,1784,0
141,141,142,1,76,1,31,xx,xx,1770,xx,xx,1773,0
142,142,143,1,76,1,32,xx,xx,1767,xx,xx,1770,0
143,143,144,1,77,1,12,01,05,1785,30,04,1788,0
144,144,145,1,77,1,32,xx,xx,1781,xx,xx,1784,0
145,145,146,1,78,1,12,00,00,1779,00,00,1782,0
146,146,147,1,78,1,31,xx,xx,1790,xx,xx,1793,0
147,147,148,1,78,1,36,xx,xx,1785,xx,xx,1787,0
148,148,149,1,78,8,30,xx,xx,1788,xx,xx,1790,0
149,149,150,1,78,9,47,xx,xx,1781,xx,xx,xxxx,0
150,150,151,1,79,1,12,00,00,1788,00,00,1791,0
151,151,152,1,79,1,12,00,00,1794,28,01,1795,0
152,152,153,1,80,1,12,00,00,1758,00,00,1761,0
153,153,154,1,80,1,12,00,00,1767,17,02,1769,0
154,154,155,1,81,1,9,01,05,1770,00,00,1772,0
