,functie_id,functie,old_idfunctie
0,0,adjunct advocaat-fiscaal,"['divperioden_27', 'republiek_70']"
1,1,adjunct archivarius,['batfra_37']
2,2,adjunct chef divisie,['batfra_657']
3,3,adjunct hoofdcommies,['batfra_721']
4,4,adjunct klerk van de cijfers,['batfra_696']
5,5,adjunct procureur-generaal,['republiek_71']
6,6,adjunct secretaris,"['batfra_687', 'me_91', 'divperioden_28', 'republiek_73']"
7,7,adjunct secretaris der cijfers,['batfra_616']
8,8,administrateur,['negentiende_eeuw_57']
9,9,administrateur van het kohier der verpondingen,['batfra_479']
10,10,administrateur-generaal,['batfra_663']
11,11,advocaat Staten van Holland,['me_77']
12,12,advocaat-fiscaal,"['batfra_554', 'negentiende_eeuw_46', 'me_25', 'divperioden_8', 'republiek_10']"
13,13,advocaat-fiscaal civiel,['republiek_44']
14,14,advocaat-fiscaal crimineel,['republiek_43']
15,15,advocaat-fiscaal over de militie,['batfra_330']
16,16,advocaat-fiscaal over de zeemacht,['batfra_332']
17,17,advocaat-fiscaal-generaal,['batfra_204']
18,18,advocaat-generaal,['negentiende_eeuw_30']
19,19,advocat-général,['batfra_541']
20,20,afgevaardigd lid,['batfra_622']
21,21,agendaris,['batfra_620']
22,22,agent,"['batfra_92', 'republiek_11']"
23,23,algemeen geheimschrijver,['batfra_417']
24,24,algemeen secretaris,['batfra_295']
25,25,algemene secretaris van staat,['batfra_342']
26,26,amanuensis,['batfra_719']
27,27,archi-chancelier de l' empire,['batfra_135']
28,28,archi-trésorier de l' empire,['batfra_136']
29,29,archivarius,['batfra_311']
30,30,archivist,['batfra_208']
31,31,archivist en chef expeditie,['batfra_690']
32,32,archivist-directeur van de plannen,['batfra_416']
33,33,archiviste,['batfra_148']
34,34,assessor,['batfra_544']
35,35,assistant,['batfra_713']
36,36,auditeur,"['batfra_651', 'me_4', 'republiek_12']"
37,37,auditeur de la deuxième classe,['batfra_160']
38,38,auditeur de la première classe,['batfra_159']
39,39,auditeur de la troisième classe,['batfra_161']
40,40,auditeur en service extraordinaire,['batfra_162']
41,41,auditeur-extraordinaris,['me_13']
42,42,audiëncier,['me_85']
43,43,bestuursraad,['divperioden_1']
44,44,betaalmeester te velde,['batfra_380']
45,45,betaalmeester van oorlog,['batfra_379']
46,46,bewindhebber,['republiek_90']
47,47,bibliothecaris-generaal,['batfra_653']
48,48,boekhouder,['batfra_630']
49,49,boekhouder van de waterstaat,['batfra_577']
50,50,boodschapper van staat,['batfra_724']
51,51,buitengewoon commissaris,['negentiende_eeuw_52']
52,52,buitengewoon lid in werkelijke dienst,['negentiende_eeuw_5']
53,53,buitengewoon substituut-procureur-generaal,['negentiende_eeuw_40']
54,54,censeur,['batfra_720']
55,55,charterbewaarder,['batfra_581']
56,56,charterkamer-commies,['batfra_613']
57,57,charterklerk,['batfra_588']
58,58,chartermeester,['batfra_621']
59,59,chef,['batfra_496']
60,60,chef Frans Bureau,['batfra_647']
61,61,chef algemene comptabiliteit,['batfra_691']
62,62,chef bureau de traduction,['batfra_644']
63,63,chef bureau rekesten,['batfra_668']
64,64,chef de bureau,"['batfra_509', 'batfra_564']"
65,65,chef de la division du Nord,['batfra_489']
66,66,chef der Politie,['batfra_605']
67,67,chef divisie,['batfra_675']
68,68,chef divisie artillerie en genie,['batfra_665']
69,69,chef generaal secretariaat,['batfra_659']
70,70,chef generale comptabiliteit,['batfra_680']
71,71,chef militaire du port à Amsterdam,['batfra_187']
72,72,chef militaire du port à Rotterdam,['batfra_188']
73,73,chef secretariaat,['batfra_686']
74,74,commies,"['batfra_547', 'republiek_13']"
75,75,commies Buitenlandse Zaken en Agent,['batfra_708']
76,76,commies chartermeester,['batfra_722']
77,77,commies commissie Buitenlandse Zaken,['batfra_703']
78,78,commies expediteur,['batfra_568']
79,79,commies tekenaar,['batfra_575']
80,80,commies ter ordonnantie,['batfra_593']
81,81,commies tot de geneeskundige Staatsregeling,['batfra_604']
82,82,commies tot de zaken van de waterstaat,['batfra_619']
83,83,commies van de Controleur van de gebouwen in de residentie,['batfra_534']
84,84,commies van staat,['negentiende_eeuw_3']
85,85,commies-directeur van de equipage,['batfra_611']
86,86,commies-directeur van financiën,['batfra_612']
87,87,commies-generaal van de Convooien en Licenten,['batfra_693']
88,88,commies-generaal van de convooien en licenten,"['divperioden_25', 'republiek_66']"
89,89,commies-griffier,"['batfra_542', 'negentiende_eeuw_4']"
90,90,commies-indexmaker,['batfra_35']
91,91,commies-notularis,['batfra_583']
92,92,commissaire des poudreries à Amsterdam,['batfra_232']
93,93,commissaire général de l' agriculture,['batfra_436']
94,94,commissaire impérial Monnaie d' Utrecht,['batfra_283']
95,95,commissaire spécial de la police,['batfra_238']
96,96,commissaire-général de la police,['batfra_503']
97,97,commissaire-vérificateur à l' Estampille,['batfra_231']
98,98,commissaris,"['batfra_326', 'negentiende_eeuw_53', 'me_19']"
99,99,commissaris Domeinen Nassau,['batfra_636']
100,100,commissaris Mortificatiebureau,['batfra_638']
101,101,commissaris bij het departement van Landbouw,['batfra_594']
102,102,commissaris bij het departement van de Fabrieken,['batfra_595']
103,103,commissaris des konings,['negentiende_eeuw_51']
104,104,commissaris directeur,['batfra_571']
105,105,commissaris tot de Gecedeerde Landen aan de Bataafse Republiek,['batfra_336']
106,106,commissaris tot de zaken der geneeskundige staatsregeling,['batfra_40']
107,107,commissaris tot de zaken van de geneeskundige staatsregeling,['batfra_348']
108,108,commissaris tot de zaken van de landbouw,['batfra_41']
109,109,commissaris tot de zaken van het fabriekswezen,['batfra_432']
110,110,commissaris tot de zaken van het lager schoolwezen,['batfra_39']
111,111,commissaris van de Nationale Thesaurie,['batfra_628']
