,functiebovenlokaal_id,functiebovenlokaal,old_id functiebovenlokaal
0,0,Gecommitteerde,republiek_1
1,1,Ordinaris raadsheer,republiek_2
2,2,Extraordinaris raadsheer,republiek_3
3,3,President-raadsheer,republiek_4
4,4,Raadsheer,republiek_5
5,5,Luitenant,republiek_6
6,6,Hoofdman,republiek_7
7,7,Ordinaris gedeputeerde,republiek_8
8,8,Bewindhebber,republiek_9
9,9,Advocaat-fiscaal,republiek_10
10,10,Agent,republiek_11
11,11,Auditeur,republiek_13
12,12,Commies,republiek_14
13,13,Commies-generaal,republiek_15
14,14,Griffier,republiek_16
15,15,Landsadvocaat,republiek_17
16,16,Ontvanger-generaal,republiek_18
17,17,Ontvanger-Generaal van de Unie,republiek_19
18,18,Procureur-generaal,republiek_20
19,19,Raadpensionaris,republiek_21
20,20,Secretaris,republiek_22
21,21,Substituut-griffier,republiek_23
22,22,Thesaurier-Generaal van de Unie,republiek_24
23,23,-,republiek_25
24,24,Ontvanger-generaal in het Zuiderkwartier,republiek_26
25,25,Ontvanger-generaal in het Noorderkwartier Nkw.,republiek_27
