,lokaal_id,lokaal,old_idlokaal
0,0,'s Grevelduin Kapelle,['batfra_494']
1,1,'s-Gravenhage,"['batfra_464', 'negentiende_eeuw_14']"
2,2,'s-Hertogenbosch,"['batfra_374', 'negentiende_eeuw_13']"
3,3,Aalten,['negentiende_eeuw_241']
4,4,Abcoude,['negentiende_eeuw_80']
5,5,Achtkarspelen,"['batfra_186', 'negentiende_eeuw_157', 'divperioden_3']"
6,6,Achtste Departement - Dorth,['batfra_342']
7,7,Achtste Departement - Geesteren,['batfra_340']
8,8,Achtste Departement - Gelselaar,['batfra_341']
9,9,Achtste Departement - Laren,['batfra_338']
10,10,Achtste Departement - Scholtambt Lochem,['batfra_337']
11,11,Achtste Departement - Verwolde,['batfra_339']
12,12,Aengwirden,"['batfra_195', 'negentiende_eeuw_158']"
13,13,Alblasserdam,['negentiende_eeuw_115']
14,14,Alblasserwaard,['batfra_485']
15,15,Alkmaar,"['batfra_451', 'negentiende_eeuw_1', 'republiek_13']"
16,16,Almelo,['negentiende_eeuw_2']
17,17,Alphen,['negentiende_eeuw_116']
18,18,Ambt van Bommelerwaard,['batfra_291']
19,19,Ambt van Maas en Waal,['batfra_289']
20,20,Ambt van Nederbetuwe,['batfra_288']
21,21,Ambt van Overbetuwe,['batfra_294']
22,22,Ambt van Tielerwaard (met Beesd en Rhenoy),['batfra_290']
23,23,Ameland,['negentiende_eeuw_159']
24,24,Amerongen,['negentiende_eeuw_77']
25,25,Amersfoort,"['negentiende_eeuw_4', 'republiek_36']"
26,26,Amsterdam,"['batfra_460', 'negentiende_eeuw_3', 'me_10', 'republiek_6']"
27,27,Anloo,"['batfra_412', 'batfra_430']"
28,28,Apeldoorn,['batfra_277']
29,29,Apeldoorn/Brummen,['negentiende_eeuw_233']
30,30,Appingedam,['negentiende_eeuw_5']
31,31,Arnhem,"['batfra_262', 'negentiende_eeuw_6', 'me_8', 'republiek_45']"
32,32,Arrondissement Alkmaar,['batfra_15']
33,33,Arrondissement Almelo,['batfra_26']
34,34,Arrondissement Amersfoort,['batfra_203']
35,35,Arrondissement Amsterdam,['batfra_1']
36,36,Arrondissement Appingedam,['batfra_2']
37,37,Arrondissement Arnhem,['batfra_23']
38,38,Arrondissement Assen,['batfra_20']
39,39,Arrondissement Den Briel,['batfra_3']
40,40,Arrondissement Den Haag,['batfra_14']
41,41,Arrondissement Deventer,['batfra_17']
42,42,Arrondissement Dordrecht,['batfra_25']
43,43,Arrondissement Eindhoven,['batfra_7']
44,44,Arrondissement Emden,['batfra_12']
45,45,Arrondissement Flakkee,['batfra_388']
46,46,Arrondissement Goes,['batfra_24']
47,47,Arrondissement Gorinchem,['batfra_18']
48,48,Arrondissement Groningen,['batfra_11']
49,49,Arrondissement Haarlem,['batfra_28']
50,50,Arrondissement Heerenveen,['batfra_21']
51,51,Arrondissement Hoorn,['batfra_22']
52,52,Arrondissement Jever,['batfra_10']
53,53,Arrondissement Leeuwarden,['batfra_19']
54,54,Arrondissement Leiden,['batfra_16']
55,55,Arrondissement Meppel,['batfra_385']
56,56,Arrondissement Middelburg,['batfra_384']
57,57,Arrondissement Nijmegen,['batfra_5']
58,58,Arrondissement Rotterdam,['batfra_8']
59,59,Arrondissement Sneek,['batfra_29']
60,60,Arrondissement Tiel,['batfra_13']
61,61,Arrondissement Utrecht,['batfra_27']
62,62,Arrondissement Winschoten,['batfra_30']
63,63,Arrondissement Zierikzee,['batfra_4']
64,64,Arrondissement Zutphen,['batfra_6']
65,65,Arrondissement Zwolle,['batfra_9']
66,66,Assen,"['batfra_405', 'negentiende_eeuw_7']"
67,67,Axel,['negentiende_eeuw_110']
68,68,Baarderadeel,"['batfra_167', 'batfra_170', 'negentiende_eeuw_160', 'divperioden_14']"
69,69,Baarn,['negentiende_eeuw_82']
70,70,Banne Oostzaan,['batfra_457']
71,71,Banne Westzaan,['batfra_456']
72,72,Barneveld,['batfra_268']
73,73,Barradeel,"['batfra_174', 'negentiende_eeuw_161', 'divperioden_16']"
74,74,Beemster,['batfra_478']
75,75,Beilen,['batfra_408']
76,76,Bergen (L.),['negentiende_eeuw_210']
77,77,Bergen op Zoom,['negentiende_eeuw_8']
78,78,Bergum,['negentiende_eeuw_194']
79,79,Beringen,['negentiende_eeuw_212']
80,80,Beverwijk,['negentiende_eeuw_117']
81,81,Bilzen,['negentiende_eeuw_214']
82,82,Blokker,['negentiende_eeuw_118']
83,83,Blokzijl,['batfra_208']
84,84,Bodegraven,['negentiende_eeuw_119']
85,85,Bolsward,"['batfra_394', 'negentiende_eeuw_162', 'divperioden_32']"
86,86,Borger,['batfra_428']
87,87,Borgloon,['negentiende_eeuw_213']
88,88,Borne,['batfra_209']
89,89,Boxmeer,['negentiende_eeuw_9']
90,90,Breda,['negentiende_eeuw_10']
91,91,Bree,['negentiende_eeuw_215']
92,92,Breukelen,['negentiende_eeuw_86']
93,93,Brielle,['negentiende_eeuw_11']
94,94,Brigdamme,['me_3']
95,95,Broek in Waterland,['negentiende_eeuw_120']
96,96,Broek op Langedijk,['negentiende_eeuw_121']
97,97,Brummen,['batfra_279']
98,98,Brustem,['negentiende_eeuw_216']
99,99,Coevorden,"['batfra_438', 'negentiende_eeuw_67']"
100,100,Colmschate,['batfra_210']
101,101,Culemborg,['negentiende_eeuw_225']
102,102,Dalen,['batfra_437']
103,103,Dalfsen,"['batfra_211', 'negentiende_eeuw_91']"
104,104,Dantumadeel,"['batfra_389', 'negentiende_eeuw_163', 'divperioden_4']"
105,105,De Rijp,['negentiende_eeuw_122']
