	ID	Periode	IDRegent	IDFunctie	IDCollege	Begindag	Beginmaand	Beginjaar	Einddag	Eindmaand	Eindjaar	Vertegenwoordigend	provinciaal	Opmerkingen	lokaal	regio	stand
0	1	1	22.0	1.0	9	21.0	4.0	1722.0	30.0	4.0	1752.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	1.0		
1	2	1	22.0	1.0	11	1.0	5.0	1752.0	16.0	11.0	1766.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd door overlijden.	1.0		
2	3	1	23.0	1.0	7	1.0	5.0	1764.0	30.0	4.0	1766.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	11.0		
3	4	1	23.0	1.0	11	1.0	5.0	1752.0	30.0	4.0	1754.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	11.0		
4	5	1	24.0	21.0	9	14.0	6.0	1724.0	30.0	4.0	1752.0	0					
5	6	1	24.0	21.0	11	1.0	5.0	1752.0	4.0	4.0	1754.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd door overlijden.			
6	7	1	24.0	21.0	13	5.0	9.0	1718.0	13.0	6.0	1724.0	0		Aanvangsdatum volgens Nationaal Archief, archief De Riemer, inv. nr. 41, blz. 197, 22 juli 1719. Beëindigd wegens benoeming tot secretaris van de Rekenkamer ter Auditie van Holland in het Zuiderkwartier (de einddatum daarvan afgeleid).			
7	8	1	25.0	1.0	7	1.0	5.0	1747.0	30.0	4.0	1749.0	0		Beëindigd wegens benoeming tot burgemeester van Leiden.	5.0		
8	9	1	25.0	1.0	11	1.0	5.0	1752.0	30.0	4.0	1755.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
9	10	1	25.0	50.0	27	1.0	5.0	1739.0	25.0	7.0	1740.0	0	3.0	Aanvangsdatum: formeel begin van de zittingstermijn. De reden van beëindiging is onbekend.	5.0		
10	11	1	26.0	1.0	7	1.0	5.0	1762.0	30.0	4.0	1763.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	2.0		
11	12	1	26.0	1.0	7	1.0	5.0	1766.0	30.0	4.0	1769.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	2.0		
12	13	1	26.0	1.0	11	1.0	5.0	1779.0	30.0	4.0	1781.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	2.0		
13	14	1	26.0	1.0	32	26.0	7.0	1776.0	8.0	5.0	1777.0	0	3.0	Aanvangsdatum: commissie door de Staten-Generaal.	2.0		
14	15	1	27.0	1.0	11	1.0	5.0	1755.0	16.0	6.0	1756.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd door overlijden.	6.0		
15	16	1	28.0	1.0	11	1.0	5.0	1788.0	30.0	4.0	1791.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	6.0		
16	17	1	28.0	1.0	11	1.0	5.0	1794.0	28.0	1.0	1795.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd wegens opheffing van het college.	6.0		
17	18	1	28.0	1.0	29	9.0	5.0	1785.0	1.0	5.0	1788.0	0	3.0	Aanvangsdatum: sessiename.	6.0		
18	19	1	29.0	1.0	11	1.0	5.0	1761.0	4.0	2.0	1763.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd door overlijden.	6.0		
19	20	1	29.0	1.0	11	14.0	7.0	1756.0	30.0	4.0	1758.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
20	23	1	30.0	1.0	11	25.0	2.0	1763.0	30.0	4.0	1764.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
21	24	1	30.0	1.0	32	28.0	2.0	1770.0	14.0	3.0	1782.0	0	3.0	Aanvangsdatum: benoeming door de Staten van Holland.	6.0		
22	25	1	30.0	1.0	33	19.0	2.0	1784.0	16.0	2.0	1785.0	0	3.0	Aanvangsdatum: commissie door de Staten-Generaal.	6.0		
23	26	1	31.0	1.0	7	1.0	5.0	1783.0	30.0	4.0	1786.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	6.0		
24	27	1	31.0	1.0	11	1.0	5.0	1769.0	30.0	4.0	1772.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	6.0		
25	28	1	31.0	1.0	31	20.0	2.0	1787.0	23.0	3.0	1789.0	0	3.0	Aanvangsdatum: sessiename.	6.0		
26	29	1	32.0	1.0	7	1.0	5.0	1789.0	30.0	4.0	1792.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	6.0		
27	30	1	32.0	1.0	11	1.0	5.0	1776.0	30.0	4.0	1779.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	6.0		
28	31	1	32.0	1.0	11	1.0	5.0	1782.0	30.0	4.0	1785.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	6.0		
29	32	1	33.0	1.0	11	11.0	12.0	1766.0	28.0	1.0	1795.0	0		Aanvangsdatum: benoeming door de Staten van Holland. Beëindigd wegens opheffing van het college.	1.0		
30	33	1	33.0	5.0	13	27.0	1.0	1758.0	10.0	12.0	1766.0	0	3.0	Aanvangsdatum: eedsaflegging. De einddatum is afgeleid van de aanvangsdatum als gecommitteerde in de Provinciale Rekenkamer van Holland.			
31	34	1	34.0	1.0	7	1.0	5.0	1757.0	30.0	4.0	1758.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd wegens benoeming tot secretaris van de Provinciale Rekenkamer van Holland.	2.0		
32	35	1	34.0	1.0	28	1.0	5.0	1752.0	30.0	4.0	1755.0	0	3.0	Aanvangsdatum: commissie door de Staten-Generaal.	2.0		
33	37	1	34.0	21.0	11	6.0	5.0	1758.0	18.0	11.0	1772.0	0		Aanvangsdatum: benoeming door de Staten van Holland.			
34	38	1	35.0	1.0	11	1.0	5.0	1794.0	28.0	1.0	1795.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd wegens opheffing van het college.	2.0		
35	40	1	36.0	1.0	11	1.0	5.0	1787.0	30.0	4.0	1790.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	2.0		
36	41	1	37.0	1.0	7	1.0	5.0	1781.0	30.0	4.0	1784.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	2.0		
37	42	1	37.0	1.0	11	1.0	5.0	1773.0	30.0	4.0	1776.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	2.0		
38	44	1	38.0	1.0	11	1.0	5.0	1761.0	1.0	4.0	1762.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd door overlijden.	2.0		
39	45	1	38.0	50.0	27	1.0	5.0	1745.0	30.0	4.0	1748.0	0	3.0	Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	2.0		
40	46	1	38.0	50.0	27	1.0	5.0	1754.0	30.0	4.0	1756.0	0	3.0	Aanvangsdatum: formeel begin van de zittingstermijn. De reden van beëindiging is onbekend.	2.0		
41	47	1	39.0	1.0	11	21.0	4.0	1762.0	30.0	4.0	1764.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	2.0		
42	48	1	39.0	1.0	30	12.0	4.0	1787.0	8.0	4.0	1790.0	0	3.0	Aanvangsdatum: commissie door de Staten-Generaal.	2.0		
43	50	1	41.0	1.0	11	1.0	5.0	1767.0	30.0	4.0	1770.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	2.0		
44	51	1	42.0	1.0	7	1.0	5.0	1775.0	30.0	4.0	1778.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	2.0		
45	52	1	42.0	1.0	11	1.0	5.0	1781.0	30.0	4.0	1782.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Benoeming door de Staten van Holland op 4 mei.	2.0		
46	53	1	43.0	1.0	7	1.0	5.0	1765.0	30.0	4.0	1768.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	5.0		
47	54	1	43.0	1.0	11	1.0	5.0	1758.0	30.0	4.0	1761.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
48	55	1	44.0	1.0	11	1.0	5.0	1766.0	30.0	4.0	1769.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
49	56	1	45.0	1.0	11	1.0	5.0	1773.0	30.0	4.0	1776.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
50	57	1	46.0	1.0	11	1.0	5.0	1779.0	30.0	4.0	1782.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
51	58	1	47.0	1.0	11	1.0	5.0	1785.0	7.0	2.0	1787.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd wegens ontslag uit de vroedschap van Leiden.	5.0		
52	59	1	48.0	1.0	11	8.0	2.0	1787.0	30.0	4.0	1788.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	5.0		
53	61	1	49.0	1.0	7	1.0	10.0	1787.0	30.0	4.0	1788.0	0		Aanvangsdatum: benoeming door de Staten van Holland.	5.0		
54	62	1	49.0	1.0	7	1.0	5.0	1780.0	30.0	4.0	1783.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	5.0		
55	63	1	49.0	1.0	7	1.0	5.0	1786.0	28.0	8.0	1787.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. Beëindigd wegens ontslag uit de vroedschap van Leiden.	5.0		
56	64	1	49.0	1.0	11	1.0	5.0	1791.0	30.0	4.0	1794.0	0		Aanvangsdatum: formeel begin van de zittingstermijn. 	5.0		
57	65	1	49.0	1.0	28	2.0	5.0	1788.0	1.0	5.0	1791.0	0	3.0	Aanvangsdatum: commissie door de Staten-Generaal.	5.0		
58	66	1	49.0	50.0	27			1767.0	30.0	4.0	1769.0	0	3.0	De aanvangsdatum is afgeleid van de einddatum van voorganger Nicolaas van den Boetzelaer.	5.0		
59	67	1	51.0	1.0	7	1.0	5.0	1742.0	30.0	4.0	1744.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	12.0		
60	69	1	51.0	1.0	7	1.0	5.0	1766.0	30.0	4.0	1768.0	0		Aanvangs- en einddatum: formeel begin en einde van de zittingstermijn.	12.0		
