	IDBron	Bron	Periode
0	4	Nederland's Adelsboek ('s-Gravenhage 1903-)	
1	5	"Gabriëls, A.J.C.M., `""De Edel Mogende Heeren Gecommitteerde Raaden van de Staaten van Holland en Westvriesland"", 1747-1795. Aspecten van een buitencommissie op gewestelijk niveau', Tijdschrift voor Geschiedenis 94 (1981) [Bijlage]"	
2	6	Elias, J.E., De vroedschap van Amsterdam, 1578-1795 (2 dln., Haarlem 1903-1905)	
3	7	Blécourt, A.S. de en E.M. Meijers, Memorialen van het Hof (den Raad) van Holland, Zeeland en West-Friesland, van de secretaris Jan Rosa. Deelen I, II en III (Haarlem 1929)	
4	8	Fölting, H.P., De vroedschap van 's-Gravenhage, 1572-1795 (Pijnacker 1985)	
5	9	Prak, M., Gezeten burgers. De elite in een Hollandse stad. Leiden 1700-1780 (Amsterdam 1985)	
6	10	Kooijmans, L., Onder regenten. De elite in een Hollandse stad. Hoorn, 1700-1780 (Amsterdam 1985)	
7	11	Jong, J.J. de, Met goed fatsoen. De elite in een Hollandse stad: Gouda, 1700-1780 (Amsterdam 1985)	
8	13	Poelgeest, L. van, Tussen politie en administratie van de justitie. `De Edel Mogende Heeren President en Raden van de Hoge Raad over Holland, Zeeland en Westvriesland', 1704-1795 (Ongepubliceerde doctoraalscriptie Rechten R.U. Leiden 1985) Bijlage	
9	14	Jaarboek van den Nederlandschen adel ('s-Gravenhage/Oisterwijk 1888-1894)	
10	15	Nederland's Patriciaat. Genealogieën van vooraanstaande geslachten ('s-Gravenhage 1910-)	
11	16	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln., Leiden 1911-1937)	
12	19	Bossaers, K.W.J.M., `Van kintsbeen aan ten staatkunde opgewassen'. Bestuur en bestuurders van het Noorderkwartier in de achttiende eeuw ('s-Gravenhage 1996) [Bijlagen]	
13	24	Familiedossiers Centraal Bureau voor Genealogie te 's-Gravenhage (dossier op naam van de betrokkene)	
14	26	Jager, H. de, De Brielsche vroedschap in de jaren 1618-1794 (Rijswijk 1904) (Overdrukken uit Algemeen Nederlandsch Familieblad 1887-1903)	
15	27	Schutte, O., Repertorium der Nederlandse vertegenwoordigers, residerende in het buitenland 1584-1810 ('s-Gravenhage 1976)	
16	29	Engelbrecht, E.A., De vroedschap van Rotterdam, 1572-1795 (Rotterdam 1973)	
17	31	Vos, P.D. de, De vroedschap van Zierikzee van de tweede helft der 16e eeuw tot 1795 (2e druk, Alphen aan den Rijn 1982)	
18	33	Dalen, J.L. van, Geschiedenis van Dordrecht (2 dln., Dordrecht 1931)	
19	35	Kort, J.C., Het archief van de familie Van Matenesse en van de heerlijkheid Matenesse, 1251-1917 ('s-Gravenhage 1988)	
20	36	Balen, Matthys, Beschryvinge der stad Dordrecht (Dordrecht 1678)	
21	37	Beresteyn, E.A. van en W.F. del Campo Hartman, Genealogie van het geslacht Van Beresteyn I ('s-Gravenhage 1954)	
22	38	Adelsarchief. Jaarboek van den Nederlandschen adel (1900-1904)	
23	40	Bouricius, L.G.N., Lijst der regeeringspersoonen van Delft, alphabetisch gerangschikt naar Boitet's opgaven (manuscript Centraal Bureau voor Genealogie 1925)	
24	41	Röell, H.H., Veertigraden van Delft, 1618-1795 (manuscript Centraal Bureau voor Genealogie)	
25	43	Graswinckel, D.P.M., Graswinckel. Geschiedenis van een Delfts brouwers- en regenten-geslacht ('s-Gravenhage 1956)	
26	45	Scheffer, J.H., Genealogie van het geslacht Steyn (Rotterdam 1879)	
27	46	Vorsterman van Oijen, A.A., Stam- en wapenboek van aanzienlijke Nederlandsche familiën, met genealogische en heraldische aanteekeningen (3 dln., Groningen 1883-1890)	
28	48	Elias, A.M. en P.C.M. Schölvinck, met medewerking van H. Boels, Volksrepresentanten en wetgevers. De politieke elite in de Bataafs-Franse tijd, 1796-1810 (Amsterdam 1991)	
29	50	Mommers, A.R.M., Brabant van Generaliteitsland tot gewest. Bestuursinrichting en gezagsuitoefening in en over de landen en steden van Staats-Brabant en Bataafs Braband (Utrecht 1953)	
30	55	Epen, D.G. van, Het geslacht Van Hoorn van 1571-1899 (Brussel 1899)	
31	58	Lanschot Hubrecht, J.A. van, Zeven generaties van het uitgestorven Leidse geslacht Van Lanschot en vijftien generaties van het geslacht Hubrecht (Van Lanschot Hubrecht), geplaatst in historisch perspectief, 1515-1983 (manuscript CBG 1984)	
32	61	Geselschap, J., Alfabetische naamlijst van de vroedschap van Gouda, 1559-1795 (Gouda 1975)	
33	63	Zomeren, Cornelis van, Beschrijvinge der stadt Gorinchem en Landen van Arkel, benevens der aloude en adelyke geslagten der doorlugtige Heeren van Arkel (Gorinchem 1755) 499-584.	
34	65	Jorissen, Th., Memorien van mr. Diderik van Bleyswijk, 1734-1755. Werken uitgegeven door het Historisch Genootschap te Utrecht, Nieuwe serie 45 (Utrecht 1887)	
35	66	Jager, H. de, Het geslacht Tromp (Rotterdam 1883)	
36	67	Aesch, F.H.J. van, ‘De dijkgraven van de Krimpenerwaard, 1608-heden’, Historische Encyclopedie Krimpenerwaard 6 (1981), nr. 4.	
37	70	Roelants, H.A.M., Gulden boek van Schiedam (Amsterdam 1900)	
38	72	Genealogie van de Familie Boelisz en aanverwante geslachten. Handschrift in het Familiedossier Boelisz (CBG, collectie Verloren)	
39	75	Johan van Oldenbarnevelt. Bescheiden betreffende zijn staatkundig beleid en zijn familie II. A.J. Veenendaal ed. (Den Haag 1962)	
40	77	Koopmans, J.W., De Staten van Holland en de Opstand. De ontwikkeling van hun functies en organisatie in de periode 1544-1588 ('s-Gravenhage 1990)	
41	78	Saaltink, H.W., 'Bernardus Blok, een rebelse regent', Holland 19 (1987) 233-245,	
42	79	Persman, J.R., 'De bestuursorganisatie in West-Friesland en het Noorderkwartier vanaf de eerste vergadering van de Staten van Noord-Holland in 1573 tot en met 1795', West-Frieslands oud en nieuw 40 (1973) 136-160.	
43	80	Merens, A., De geschiedenis van een Westfriese regentenfamilie. Het geslacht Merens ('s-Gravenhage 1957)	
