	alias	IDPersoon
0	Pieter Claesz. Seylemaecker	1264
1	Cornelis Thomasz. Sevenhuijsen	1272
2	Thijman Osdorp	567
3	Sebastiaen Egberti	787
4	Gerard Adriaensz. Koel	931
5	Jan Maertsz.	1129
6	Dirk Dirksz. Ben	1137
7	Albert Borritsz.	1138
8	Johan d'Edel	408
9	Jacob van der Meer	915
10	Cornelis Tetrode van Weesp	857
11	Jan Jansz. Secretaris	1214
12	Cornelis Jansz. du Bois	1215
13	Cornelis Jacobsz. Everhardt	1211
14	Willem Jacobsz. Brassen	1017
15	Johan van Duvenvoirde (vóór 1600)	188
16	Nicolaus Bulius	1043
17	Pouwels Claesz. Haring	1283
18	Hendrik Jansz. Snouck	971
19	Henrick Melisz. Coppens	1222
20	Adriaen Dircxz. Jong(e)	1604
21	Anthony Leemans	1005
22	Francois Pietersz. Maekschoon	1128
23	Brienen Manchon	970
24	Claas Jansz. 't Hoen	1595
25	Gerard Pietersz. Twisch	1149
26	Engbert Engbertsz. Versteegh	958
27	Joan Schott	431
28	Aelbrecht van der Graaff	412
29	Claes Jacobsz. Simonsz.	1055
30	Nicolaas le Febre	1741
31	Johan van Wassenaer	1686
32	Thomas van de Nieuburg	1268
33	Franco de Vree	889
34	Wilhem Bardesius	1965
35	Rutger Wessel van den Boetzelaer	1335
36	Johan Claasz. Dirout	982
37	Hans Colterman	1717
38	Pieter van Blankenbort	1317
39	Gerard Hoeufft	2042
40	Capiteyn Vinck	2089
41	Adriaen Pietersz. van Vlaerdingen	2092
42	Oom Jan Pietersz.	2128
43	Jacob Pietersz. Muusses	2131
44	Jacob Pietersz. Meuwisz.	2131
45	Bertram Philip Sigismund Albrecht graaf van Gronsfeld Diepenbroick Impel	2022
46	Willem Jacobsz. Brassaert	1017
47	Willem Reyersz. Kievit	2177
48	Michiel Michielsz. Feltron	2336
49	Wenceslaus van den Boetzelaer	1335
50	Wouter Jacobsz. Scherf	2007
51	Adriaen Cornelisz. Stockman	2352
52	Johan Swinnes	2391
53	Johan Swijsnas	2391
54	Cornelis Tymonsz. Schipper	2357
55	Claes Jacobsz. Haringcarspel	2355
56	Jacob Claesz. Haringcarspel	2401
57	Jacob Schoen	1051
58	Jan Cornelisz. Schellinger	2310
59	Jan Teen	2309
60	Jan Tedijn	2309
61	Jan Symonsz. Soutman	2311
62	Willem Jansz. Swan	2000
63	Jan Cornelisz. Schipper	2310
64	Dirck Heyndricksz. Dyckgraeff	2493
65	Gerard Fladderack	2463
66	Jacob Josias Wybout	454
67	Symon Cornelisz. Hugens	2361
68	Diederik Diederiksz. 't Hooft	1796
69	Diederik Diederiksz. Theuft	1796
70	Johan Eliasz. van Loo	2449
71	Louis Huriblock	2188
72	Jacob Pauli	2706
73	Adriaen de Jongh	1646
74	Cornelis de Neyn	1818
75	Franchois Regius	2785
76	Dirk Thierry Jansz. van Woerden	2787
77	Evert de Neyn	1825
78	Geraart Montaigne	1635
79	Cornelis Neostadius	1682
80	Dirk van de Nieuburg	1625
81	Frederik Harmens	1634
82	Jan Arnold Ludolf Mulert tot Baeckenhagen	3520
83	Arent Hendrik ten Oever	3362
84	Arent van Lauwick	3379
85	Ernst van der Ceurbeecke	3538
86	Jan Gijsbert Reinder Opten Noort	3550
87	Jan Veen	3593
88	Diederik van Romond	3605
89	Pieter Derk Golts	3409
90	Rutger van Haersolte tot Toutenburg	3655
91	Rutger van Haersolte tot Hoenlo	3656
92	Roelof van Hoevel tot Nijenhuis	3681
93	Arend Veen	3686
94	Johan Everhard Adolf van Rechteren tot de Eze	3695
95	Lodewijk Arend Gansneb genaamd Tengnagel tot Oldhuis	3519
96	Lodewijk Arend Gansneb genaamd Tengnagel tot Oldenhof	3519
97	Gijsbert Kuijper	3295
98	Jan van Schrick	3292
99	Bartold ter Barhurst	3540
100	Theymen Vrieze	3598
101	Diederich van Willig tot Oldenhof	3636
102	Carl Philip Crafft van Huffel van Neÿwindeck	3517
103	Adolf Carel Bentinck tot Nijenhuis	3717
104	Borchard Amelis van Coeverden tot Hengelo	3720
105	Georg Otto von Munchausen tot Oldemeule	3721
106	Jan Zeger Sloet tot Grimberg	3723
107	Johan van Echten tot Olduitenborgh	3724
108	Boldewijn Sloet tot Lindenhorst	3366
109	Rutger van Haersolte tot Paaslo	3655
110	Hendrik van Isselmuden tot Hogenhuys	3371
111	Philip Gerrit van Echten tot Oldruitenborgh	3661
112	Sloet tot Lindenhorst	3735
113	Christoffel Hendriksz. Grauweijck	3747
114	Engbert Claasz. Engberts	3591
115	Marten Albertsz. Martens	3340
116	Johan Louwensz. Buijs	3755
117	Hendrik Crachtsz. Stuirman	3760
118	Dirk Hendriksz. Vrese	3682
119	Otto van Bijssel	3762
120	Herman Ewouts	3779
121	Herman ter Beecke	3739
122	Erasmus van Romondt	3607
123	Alexander Wijdenbrugh	2262
124	Arent Rijckarsse	3870
125	Johan de Bruyne	3145
126	Taems Gerritsz. van der Does	2396
127	Dirck Jacobsz. Seijs	2486
128	John Melvill	69
129	Jacob Fransz. Wittens	142
130	Carel Antoni Maclaine	561
131	Willem van Goedereede	671
132	Hugo van Erkel	724
133	Thomas Verver	3288
134	Joan van der Beek	3291
135	Goswijn Hogers	3294
136	Janus Dousa	2824
137	Pieter de Hiniossa	1676
138	Apollonius Schotte	1683
139	Ellert de Veer	1712
140	Jacob Gerritsz. Koorn	1715
141	George Rataller	1736
142	Jacob Scotte	1753
143	Nicolaas Ruysch Claassen	2837
144	Dirk Jansz. Graswinckel	1754
145	Cornelis Boey	2766
146	Cornelis Boyus Ictus	2766
147	Jacob Jes	1679
148	Dirck Outgersz. Oostzanen	515
149	Claes Allert Doctor	1043
150	Johan Bets	1631
151	Joris van Hoogwerf	2600
152	Johan Swijnaart	2391
153	Johan Swijnas	2391
154	Duvenvoorde	2335
155	David Jacobsz. Verheul	2326
156	Antoine Genits	2838
157	Ellert de Veer	2826
158	Jacob Gerritsz. Cassaties	2860
159	Hendrick Dircksz. Wems	2865
160	Hendrick Dircksz. Wemmes	2865
161	François Riccen	1779
162	Hendrick Dircksz. Wemes	2865
163	Jan Tijmonsz. Gast	1519
164	Jacob Jansz. Mars	1307
165	Gerardt Duesen	1616
166	Hubrecht Jan Anthonisse	2946
167	Cornelis Fransz. Wittens	143
168	Cornelis Fransz. de Witte	143
169	Hubrecht de Jonge	2946
170	Dirk van Teylingen	696
171	Albrecht van Schagen	2014
172	Theodoricus van Leyden van Leeuwen	1613
173	Gerardt Doesze	1616
174	Gerardt Deuse	1616
175	Gerardt Deusze	1616
176	Frederick Boymer	2853
177	Floris Schoterbosch	1667
178	Andries Cornelisz. de Witte	1708
179	Frederik de Lier	1804
180	Johan Iman Cau van de Dussen	2735
181	Johan van Zuijrendael	2791
182	Franchois Boot	2796
183	Cornelis van Groendijk	1785
184	Meinardus van Buuren	2799
185	Johan Raven	1847
186	Evert Both van der Eem	2840
187	Pieter Rosa (vanaf 1682)	238
188	Jan Arentsz. Snyder	3011
189	Dirck Reynersz. Bood	3015
190	Jan Adriaensz. Croon	3018
191	Bouwen Heijnsz.	1175
192	Govert Christiaensz. van Slingeland	2516
193	Adriaan Andriesz. de Lange	959
194	Everard Verschuyr	2328
195	Adriaan van Clevesteijn	1072
196	Willem Keyzer	1403
197	Diderik van der Meyden	1926
198	Gerrit Aertsz. van Hasselt	2339
199	Wouter Jacobsz. Schaep	2007
200	Wouter Jacobsz. Scharp	2007
201	Jan Dircksz. van der Zeijde	2353
