	IDBron	Bron	Periode
0	2	Vries, O. e.a., De heeren van den raede. Biografieën en groepsportret van de raadsheren van het hof van Friesland, 1499-1811 (Hilversum 1999)	9
1	3	Algemeen Nederlandsch Familieblad (1883-1905)	9
2	4	Raad van State 450 jaar. Repertorium ('s-Gravenhage 1983)	9
3	12	Nederland's Patriciaat. Genealogieën van vooraanstaande geslachten ('s-Gravenhage 1910-)	9
4	13	Nederland's Adelsboek ('s-Gravenhage 1903-)	9
5	14	Genealogische en heraldische bladen (1906-1915)	9
6	16	Jaarboek van het Centraal Bureau voor Genealogie en het Iconographisch Bureau ('s-Gravenhage 1947- )	9
7	18	Tresoar	9
8	20	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln.; Leiden 1911-1937)	9
9	23	Jaarboek van den Nederlandschen adel ('s-Gravenhage/Oisterwijk 1888-1894)	9
10	24	Leeuwarder Historische Reeks	9
11	28	Nationaal Archief	9
12	31	Resolutiën der Staten-Generaal	9
13	34	Genealogysk jierboek	9
14	37	Frick Collection, The Montias Database of 17th Century Dutch Art Inventories (https://research.frick.org/montias)	9
15	5	Mensema, A.J., De ridderschap van Overijssel 1460-1795 (3 dln., Zwolle 1993)	9
16	6	Obreen, H.G.A., Geschiedenis van het geslacht van Wassenaer (Leiden 1903)	9
17	7	Nienes, A.P. van en M. Bruggeman, Archieven van de Friese stadhouders (Leeuwarden 2002)	9
18	8	Smits, E., De Friesche admiraliteit boven water (2 dln., Dokkum 1996)	9
19	9	Haan Hettema, M. de en A. van Halmael, Stamboek van den Frieschen, vroegeren en lateren, adel (2 dln., Leeuwarden 1846)	9
20	10	Gabriëls, A.J.C.M., De heren als dienaren en de dienaar als heer. Het stadhouderlijk stelsel in de tweede helft van de achttiende eeuw ('s-Gravenhage 1990)	9
21	11	Wapenheraut, De ('s-Gravenhage 1897-1920)	9
22	15	Brood,  P. e.a. ed., Homines novi. De eerste volksvertegenwoordigers van 1795 (Amsterdam 1993)	9
23	17	Nederlandsche Leeuw, De ('s-Gravenhage 1883-)	9
24	19	Jong, S.P. de, J.A. Schuur en P.M. Peucker, Inventaris van de archieven van de gewestelijke bestuursinstellingen van Friesland 1580-1795 (Leeuwarden 1998)	9
25	21	Haagsma, S., Lijst van ambtenaren en beambten bij het collegie ter admiraliteyt in Vrieslandt (1899; handschrift 9360 in bibliotheek Tresoar )	9
26	22	Kuiper, Yme, Adel in Friesland 1780-1880 (Groningen 1993)	9
27	25	Bakker, G., ‘Leden fan de Warkumer froedskip tusken 1632 en 1795’, in: idem ed., De sted Warkum (Bolsward 1967) 32-41.	9
28	26	Napjus, E., Geschiedkundige kronijk en beschrijving van de stad Sneek (Sneek 1826)	9
29	27	Baerdt van Sminia, H., Nieuwe naamlijst van grietmannen van de vroegste tijden af tot het jaar 1795, met eenige geschiedkundige aanteekeningen (Leeuwarden 1837)	9
30	32	Vos, P.D. de, De vroedschap van Zierikzee van de tweede helft der 16e eeuw tot 1795 (2e druk, Alphen aan den Rijn 1982)	9
31	33	Schutte, O., Repertorium der Nederlandse vertegenwoordigers, residerende in het buitenland 1584-1810 ('s-Gravenhage 1976)	9
32	35	Hofland, P., Leden van de Raad. De Amsterdamse gemeenteraad 1814-1941 (Amsterdam 1998)	9
33	36	Aa, A.J. van der, Biographisch woordenboek der Nederlanden (12 dln., Haarlem 1852-1878)	9
