	IDCollege	Periode	College	VolgnummerBasiscollege	Basis	Id
0	1	9	Hof van Friesland (1499-1811)	0	0	24
1	5	9	Gedeputeerde Staten van Friesland (1577-1795)	0	0	0
2	6	9	Admiraliteit in Friesland (1596-1795)	0	0	0
3	7	9	Admiraliteit te Amsterdam (1586-1795)	0	0	0
4	9	9	Raad van State (1588-1795)	0	0	0
5	11	9	Staten-Generaal der Verenigde Nederlandse Provinciën (1588-1796)	0	0	0
6	15	9	Generaliteitsrekenkamer (1608-1799)	0	0	0
7	31	9	Provinciale Rekenkamer van Friesland (1582-1795)	0	0	0
8	32	9	Ridderschap van Overijssel	0	1	0
9	36	9	Vroedschap van Harlingen	0	1	0
10	43	9	Vroedschap van Leeuwarden	0	1	0
11	44	9	Vroedschap van Sneek	0	1	0
12	45	9	Admiraliteit op de Maze (1586-1795)	0	0	0
13	46	9	Vroedschap van Workum	0	1	0
14	47	9	Ridderschap van Holland	0	1	0
15	48	9	Admiraliteit in het Noorderkwartier (1589-1795)	0	0	0
16	50	9	Vroedschap van Stavoren	0	1	0
17	55	9	Vroedschap van Franeker	0	1	0
18	56	9	Vroedschap van IJlst	0	1	0
19	57	9	Vroedschap van Dokkum	0	1	0
20	58	9	Vroedschap van Sloten	0	1	0
21	59	9	Vroedschap van Bolsward	0	1	0
22	60	9	Staten van Friesland (1580-1795)	0	0	0
23	62	9	VOC ter Kamer Amsterdam	0	0	0
24	64	9	Raad van Leeuwarden	0	1	0
25	65	9	Vroedschap van Hindeloopen	0	1	0
26	66	9	Vroedschap van Zierikzee	0	1	0
27	8	9	College van Superintendentie der Admiraliteit (1589-1593)	0	0	0
