	alias	IDPersoon
0	Bernardus Bucho Aytta	4
1	Mamma Eponis	5
2	Renik Eminga	6
3	Schelte Tjaerda	7
4	Tako Heemstra	8
5	Benedictus Heris	10
6	Dietrich von Witzleben zu Wendelstein	15
7	Günther von Bünau zu Elsterberg und Christgrün	22
8	Casper Ziegler zu Gauernitz und Taubenheim	24
9	Otto Pflug zu Strehla und Lamperswalde	26
10	Seifard von Lüttichau zu Kmehlen und Ortrand	29
11	Veit von Drachsdorf zu Osterau	32
12	Goslik Jongema	39
13	Sytthie Aylva	56
14	Gregorius van Aken	59
15	Haio Hompius	62
16	Hette van Hoxwier	70
17	Jacob Rousseau	71
18	Alexius van Harderwijck	73
19	Valerius van Ockinga	75
20	Wilhelmus van der Linden	86
21	Joannes Carolus	95
22	Juw van Dekema	96
23	Karel Nicolai	100
24	Jurgien Godefridi	116
25	Sjoerd Hania	124
26	Meyne Lyckles Nijeholpada	118
27	Homerus van Harinxma	143
28	Theodorus Saeckma	148
29	Gerlich Doys thoe Nieuwland	172
30	Philippus Aebinga van Humalda	173
31	Godschalk van Knijff	191
32	Hendrik Johan Schultens	198
33	Boccatius Hoppers	252
34	Jan Huybertsz. Cath	368
35	Syds van Donia	381
36	Jurg Georg van Burmania	208
37	Sapheus Hiemstra	466
38	Schelto van Hiemstra	468
39	Schelto van Hiemstra	467
40	Sixtus a Decama	376
41	Horatius Meinsma	637
42	Dirck Sipperds Ennes	389
43	Idzard van Douma	384
44	Stanzius, Theodorus	800
45	Arnoldus van Haersma	434
46	Adam van Eysinga	132
47	Frederick van Epema	709
48	Pieter Wopkesz. Cromwal	754
49	Pieter van Jongestal	146
50	Rintze van Andringa	287
51	Rinso van Andringa	287
52	Anchises van Andla	283
53	Ulpianus ab Aylva	311
54	Adrianus Bergsma	558
55	Suffridus van Boelens	256
56	Tarquinius van Boelens	330
57	Allart van Burum	362
58	Valerius Camminga	364
59	Erasmus van Douma	384
60	Pytter van Eysinga	396
61	Dirck Foegelsangh	407
62	Theodorus Fogelsangh	407
63	Valerius van Glinstra	421
64	Julius van Harinxma	460
65	Tjerck van Heerma	471
66	Duco van Hemmema	473
67	Dominicus ab Hottinga	481
68	Meynte van Idsaerda	490
69	Rembertus Syrcxma	499
70	Ritske van Ringia	505
71	Agge van Walta	506
72	Frederick van Vervou van Martenahuis	511
73	Pieter van Waltha	514
74	Rinco van Burmania	515
75	Eyse Lycklama	519
76	Arent Julianus de Beere	570
77	Hans Hendrik Boreel van Haersma	575
78	Willem August Sirtema van Grovestins	581
79	Eiso van Lycklama	519
80	Hans van Lycklama	627
81	Doecke van Martena	635
82	Scipio van Meckema	636
83	Lamoraal Johan Joachim Rengers	657
84	Andries Doedes	673
85	Sicco Meckema van Aylva	698
86	Scipio Meckema van Aylva	698
87	Ernst van Doenija	710
88	Lodewijck van Ockinga	714
89	Bocco van Burmania	719
90	Hotze van Aysma	731
91	Hotthie van Aysma	731
92	Douwe Sytsma	807
93	Douwe van Unia	820
94	Abram van Venema	902
95	Georg Sigismund van Hiemstra	465
96	Jelle Bruininga	341
97	Hartius Iepema	157
98	Saco van Idsinga	488
99	Bartholomeus van Nijsten	641
100	Willem Hendrick van Hiemstra	469
101	Carel Georg van Wassenaer Twickel	564
102	Titus van Hania	1024
103	Sape van Wissema	841
104	Suffridus Saeckma	852
105	Zidzie van Aylva	56
106	Theodorus van Scheltinga	162
107	Sixtus Anthonius van Galama	900
108	Augustinus Lycklama à Nijeholt	955
109	Ritske van Rengia	505
110	Taco van Burmania	509
111	Christoffel Arentsma	272
112	Jan Nanningsz.	512
113	Frederick van Inthema	491
114	Jelte van Eysinga	501
115	Frederik Schuirmans	876
116	Johan Abraham Schuirmans	545
117	Epo van Bootsma	699
118	Epo van Aylva	297
119	Ausonius Aijsma	1080
120	Rienk Atsma	292
121	Johannes Culenburg	375
122	Wilhelmus van Velsen	508
123	Jelle Bruinga	341
124	Tarquinius van Boelens	1087
125	Juw van Bottinga	51
126	Pytter Edzard Mockema van Harinxma thoe Sloten	463
127	Aemilius van Oenema	847
128	Feycke Tetmans	732
129	Johannes ter Wisga	840
130	Pieter Beerent van Wijdenbrugh	1117
131	Pieter Beerent van Widenbrug	1117
132	Douwe van Botnia	346
133	Worp Jessens	738
134	Worp Tjessens	738
135	Dierck Thijssens	744
136	Hero Viarda	772
137	Rombertus Siercksma	499
138	Ipe van Bootsma	1140
139	Gijsbert van Arentsma	1030
140	Joachim Gerardi	1144
141	Ruurt Bauts	1153
142	Syds van Scheltema	762
143	Juw van Eysinga	1142
144	Edo van Eysinga	392
145	Sicco van Aylva	300
146	Aduard van Reynalda	660
147	Van der Haer van Campensnieuwland	431
148	Van Schuylenburch van Bommenede	578
149	Van Aylva van Waardenburg en Neerijnen	572
150	Van Haersma van Nederhorst den Berg	575
151	Theotardus van Heloma	944
152	Dirk van Utrecht	81
153	Humpius van Emden	62
154	Gerard Muylaert	45
155	Gerard Milert	45
156	Martinus de Narden	57
157	Everard Everaerts	58
158	Jacobus van Botnia	334
159	Epo van Douwma	382
160	Fritz von Grumbach zu Eschefeld	37
161	Egbert Annes Idtskema	493
162	Ipe van Juckema	504
163	Jelle van Jongestal	135
164	Julius van Botnia	51
165	Johan Rotaller	44
166	Petrus Wiardi	9
167	Van Hambroick van Weleveld	449
