	IDBron	Bron	Periode
0	4	Nederland's Adelsboek ('s-Gravenhage 1903-)	
1	5	"A.J.C.M. GabriÃ«ls, `""De Edel Mogende Heeren Gecommitteerde Raaden van de Staaten van Holland en Westvriesland"", 1747-1795. Aspecten van een buitencommissie op gewestelijk niveau', Tijdschrift voor Geschiedenis 94 (1981) [Bijlage]"	
2	6	J.E. Elias, De vroedschap van Amsterdam, 1578-1795 (2 dln., Haarlem 1903-1905)	
3	7	A.S. de BlÃ©court en E.M. Meijers, Memorialen van het Hof (den Raad) van Holland, Zeeland en West-Friesland, van de secretaris Jan Rosa. Deelen I, II en III (Haarlem 1929)	
4	8	H.P. FÃ¶lting, De vroedschap van 's-Gravenhage, 1572-1795 (Pijnacker 1985)	
5	9	M. Prak, Gezeten burgers. De elite in een Hollandse stad: Leiden 1700-1780 (Amsterdam 1985)	
6	10	L. Kooijmans, Onder regenten. De elite in een Hollandse stad: Hoorn, 1700-1780 (Amsterdam 1985)	
7	11	J.J. de Jong, Met goed fatsoen. De elite in een Hollandse stad: Gouda, 1700-1780 (Amsterdam 1985)	
8	13	L. van Poelgeest, Tussen politie en administratie van de justitie. `De Edel Mogende Heeren President en Raden van de Hoge Raad over Holland, Zeeland en Westvriesland', 1704-1795 (Ongepubliceerde doctoraalscriptie Rechten R.U. Leiden 1985) Bijlage	
9	14	Jaarboek van den Nederlandschen adel ('s-Gravenhage/Oisterwijk 1888-1894)	
10	15	Nederland's Patriciaat. GenealogieÃ«n van vooraanstaande geslachten ('s-Gravenhage 1910-)	
11	16	Nieuw Nederlandsch Biografisch Woordenboek. P.C. Molhuysen en P.J. Blok ed. (10 dln., Leiden 1911-1937)	
12	19	K.W.J.M. Bossaers, `Van kintsbeen aan ten staatkunde opgewassen'. Bestuur en bestuurders van het Noorderkwartier in de achttiende eeuw ('s-Gravenhage 1996) [Bijlagen]	
13	24	Familiedossiers Centraal Bureau voor Genealogie te 's-Gravenhage (dossier op naam van de betrokkene)	
14	26	H. de Jager, De Brielsche vroedschap in de jaren 1618-1794 (Rijswijk 1904) (Overdrukken uit Algemeen Nederlandsch Familieblad 1887-1903)	
15	27	O. Schutte, Repertorium der Nederlandse vertegenwoordigers, residerende in het buitenland 1584-1810 ('s-Gravenhage 1976)	
16	29	E.A. Engelbrecht, De vroedschap van Rotterdam, 1572-1795 (Rotterdam 1973)	
17	31	P.D. de Vos, De vroedschap van Zierikzee van de tweede helft der 16e eeuw tot 1795 (2e druk, Alphen aan den Rijn 1982)	
18	33	J.L. van Dalen, Geschiedenis van Dordrecht (2 dln., Dordrecht 1931)	
19	35	J.C. Kort, Het archief van de familie Van Matenesse en van de heerlijkheid Matenesse, 1251-1917 ('s-Gravenhage 1988)	
20	36	Matthys Balen, Beschryvinge der stad Dordrecht (Dordrecht 1678)	
21	37	E.A. van Beresteyn en W.F. del Campo Hartman, Genealogie van het geslacht Van Beresteyn I ('s-Gravenhage 1954)	
22	38	Adelsarchief. Jaarboek van den Nederlandschen adel (1900-1904)	
23	40	L.G.N. Bouricius, Lijst der regeeringspersoonen van Delft, alphabetisch gerangschikt naar Boitet's opgaven (manuscript Centraal Bureau voor Genealogie 1925)	
24	41	H.H. RÃ¶ell, Veertigraden van Delft, 1618-1795 (manuscript Centraal Bureau voor Genealogie)	
25	43	D.P.M. Graswinckel, Graswinckel. Geschiedenis van een Delfts brouwers- en regenten-geslacht ('s-Gravenhage 1956)	
26	45	J.H. Scheffer, Genealogie van het geslacht Steyn (Rotterdam 1879)	
27	46	A.A. Vorsterman van Oijen, Stam- en wapenboek van aanzienlijke Nederlandsche familiÃ«n, met genealogische en heraldische aanteekeningen (3 dln., Groningen 1883-1890)	
28	48	A.M. Elias en P.C.M. SchÃ¶lvinck, met medewerking van H. Boels, Volksrepresentanten en wetgevers. De politieke elite in de Bataafs-Franse tijd, 1796-1810 (Amsterdam 1991)	
29	50	A.R.M. Mommers, Brabant van Generaliteitsland tot gewest. Bestuursinrichting en gezagsuitoefening in en over de landen en steden van Staats-Brabant en Bataafs Braband (Utrecht 1953)	
30	55	D.G. van Epen, Het geslacht Van Hoorn van 1571-1899 (Brussel 1899)	
